det,fam,elbow,n
IForest,other,0.4329598145285938,43
LOF,local,0.06255627763314811,14
KNN,local,0.10530257639304941,15
ECOD,global,0.05149342229793635,42
COPOD,global,0.22935103244837762,43
HBOS,global,0.38970907335907323,44
PCA,global,0.13000291078445586,43
CBLOF,local,0.37890163208994737,32
LODA,other,0.12006789214028529,20
KNN_k3,local,0.35325558794946754,25
LOF_k10,local,-0.2223376953743498,20
KNN_k10,local,0.41421568627451527,33
LOF_k35,local,-0.03193127289009681,14
KNN_k35,local,0.23810904872390148,17
LOF_k50,local,0.19464958552495695,24
KNN_k50,local,0.3572137778348662,34
LOF_k100,local,0.2970276196831194,32
KNN_k100,local,0.33978382147838143,33
LOF_k200,local,0.030409942517283024,16
KNN_k200,local,0.20855566774558337,16
HBOS_b5,global,0.335079100191757,42
HBOS_b20,global,0.39779051677827115,44
HBOS_b50,global,0.39648806266498443,44
HBOS_b100,global,0.36932382266819674,22
PCA_c0.3,global,0.17983798379837967,41
PCA_c0.7,global,-0.01400286138097348,20
PCA_c0.9,global,0.16278718742344397,42
PCA_c0.99,global,-0.12914396550438517,20
CBLOF_c16,local,-0.07356223175965695,15
CBLOF_c32,local,-0.04818826973570859,16
IF_n50,other,0.42889823172993663,43
IF_n300,other,0.47667785234899296,43
LODA_b20,other,-0.02301768704223781,20
LODA_b50,other,-0.14250332044892472,22
LOF_k3,local,-0.2447778514588843,17
CBLOF_c4,local,0.4217822998679752,10
KNN_k20,local,0.6121183206106882,17
LOF_k20,local,0.3203762500633044,6
