corpus,dataset,n_norm,n_anom,n_hard,frac_triv,n_eff,fp,d,dip_frac,mean_dip,bc_frac,gmm_k,silh,dip_proj_frac,dip_proj_minp,bestdir_p,eff_frac,base_rate,oracle_apnorm,truefam
ovrbench,BusinessAnomalies,2400,1988,857,0.5689134808853119,581,5|60446e6355|0ef38d6b6f,5,0.8,0.0879544274546903,0.8,15.0,0.5661777428659462,0.25,0.0,0.0,0.678,0.263,0.35,global
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,2362,1432,718,0.4986033519553072,563,16|a29a83258c|1b5d98eb39,16,0.9375,0.0677370649185666,0.625,14.0,0.5301807531580179,0.7333333333333333,0.0,0.0,0.784,0.233,0.121,global
adbench,22_magic.gamma,2400,6688,3896,0.4174641148325358,544,10|4a09881ea8|575fcaf511,10,0.4,0.0155405137670307,0.1,12.0,0.3134283950134648,0.0,0.2889745676408278,0.9379173804391072,0.14,0.619,0.537,local
ovrbench,FakeNewsPropagation,2400,2816,1953,0.3064630681818182,544,11|6bf31891df|39d0a763ee,11,0.6363636363636364,0.0249170259410748,0.8181818181818182,13.0,0.8260957901741848,0.2333333333333333,0.0,0.0,0.279,0.449,0.404,global
ovrbench,philippine,1167,720,720,0.0,528,308|2cbad32ec2|eceeb04063,308,0.1233766233766233,0.0081906384675896,0.1136363636363636,8.0,0.2535156278404082,0.0,0.2722704516132086,1.0,0.733,0.382,0.379,global
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,2508,1944,1131,0.4182098765432099,528,16|7f9003e9e1|aad1baee0f,16,0.8125,0.0731669292731506,0.5,12.0,0.5400724989133912,0.55,0.0,0.0,0.467,0.311,0.526,local
ovrbench,guillermo,2400,1327,1327,0.0,528,4279|6845f7fa76|8666a05398,4279,0.0074783827997195,0.0057527512578454,0.9226454779154007,11.0,0.1964056847817136,0.0,0.5926054476049643,0.5329822870850129,0.398,0.356,0.045,global
ovrbench,FinancialTransaction4,2400,2093,1830,0.1256569517439082,524,7|ec103426f2|16d630f475,7,1.0,0.0779943333333333,0.7142857142857143,13.0,0.3623878798759034,0.25,0.0,0.0,0.286,0.433,0.291,local
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,2306,1958,1213,0.3804902962206333,523,16|9212c2d686|95d1332162,16,0.6875,0.0455051803395824,0.4375,14.0,0.5103651505737163,0.4166666666666667,0.0,0.0,0.431,0.345,0.093,global
ovrbench,SpectralImaging,2400,6422,3209,0.5003114294612271,522,60|fb901137f9|e698d0a683,60,0.8166666666666667,0.0525095679540495,0.45,11.0,0.1750686567478382,0.0333333333333333,0.0195380931022256,0.1336478863675001,0.163,0.572,0.838,global
oddbench,BarExamPrediction,2400,1038,779,0.2495183044315992,521,10|cd9649be5d|20282d5bbb,10,0.6,0.0410971798456008,0.4,15.0,0.2122229743177207,0.0,0.6001745934060707,0.9961838595546862,0.669,0.245,0.45,global
ovrbench,SolarFlare,2400,11673,6688,0.4270538850338388,520,15|9edbade8ac|05133c7e50,15,0.2,0.0129117691633519,0.9333333333333332,15.0,0.4927706398891597,0.0,0.5650084391384017,0.8557799040041671,0.078,0.736,0.447,local
ovrbench,ailerons,2400,1832,1203,0.3433406113537118,516,28|28bd355556|f6a3ba98c8,28,0.9285714285714286,0.0628562017871412,0.0,7.0,0.4932590119041763,0.0,0.5589762141431931,0.0026136125655815,0.429,0.334,0.343,global
oddbench,FinancialTransactionAnomalies,2400,1929,1826,0.053395541731467,514,5|31baa81362|64f37082d8,5,0.6,0.0165696373799588,0.8,8.0,0.2334474583002041,0.0,0.052738849993461,0.4980483672549854,0.281,0.432,0.088,global
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,7314,1908,1808,0.0524109014675052,514,16|7f4755bf7f|04c2e40026,16,0.6875,0.0338376111951455,0.625,13.0,0.6189959869005058,0.4166666666666667,0.0,0.0,0.284,0.198,0.029,local
oddbench,SalesOrderPriority,2400,3932,3343,0.1497965412004069,513,7|8f71713ba9|609603e272,7,0.2857142857142857,0.0244796732944121,0.7142857142857143,15.0,0.4209909856157338,0.1166666666666666,0.0,0.9902565345020008,0.153,0.582,0.219,local
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,2593,1723,708,0.5890887986070806,510,16|88d7b2aec2|38a9e0cc56,16,0.8125,0.0339928071029464,0.5625,11.0,0.547907276708907,0.3,0.0,0.0,0.72,0.214,0.119,local
ovrbench,NeuroSignalEEG,2400,14578,12945,0.1120181094800384,508,12|e839496a0d|5b7eab660a,12,0.4166666666666667,0.01420637362681,0.0833333333333333,1.0,0.0901054130590425,0.0,0.5637811813933526,0.927204096052702,0.039,0.844,0.649,global
ovrbench,EEGEyeState,2400,1133,1013,0.1059135039717564,506,14|137927a240|2613638929,14,0.4285714285714285,0.0137379129016993,0.7142857142857143,11.0,0.9823577338338236,0.0,0.4666821252852754,0.9945984728473422,0.5,0.297,0.809,local
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,2636,1468,747,0.4911444141689373,506,16|ff46ecfcf2|58581c5d67,16,0.9375,0.0576404307549232,0.4375,12.0,0.5569893216861063,0.6166666666666667,0.0,0.0,0.677,0.221,0.054,global
ovrbench,jannis,2400,7706,7249,0.0593044381001816,503,54|fe8fcb6a45|c12323b8a3,54,0.1296296296296296,0.0098334318389086,0.3148148148148148,4.0,0.2275015892720169,0.0,0.3483021146529031,0.8943986832803773,0.069,0.751,0.295,global
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,2359,2556,1182,0.5375586854460094,503,16|204617619e|0eeccb6890,16,0.8125,0.0697919466275165,0.6875,12.0,0.5810279364127918,0.45,0.0,0.0,0.426,0.334,0.075,local
ovrbench,AmazonReviewAnomalies,2400,1564,739,0.5274936061381074,503,3|25a1b6fbf5|4e508188da,3,1.0,0.0688429893601515,1.0,15.0,0.4943094636150826,0.65,0.0,0.0164018259400469,0.681,0.235,0.528,global
ovrbench,sf-police-incidents,2400,269319,253721,0.0579164485238694,501,5|c9f429b3d6|9bb3bfa55e,5,1.0,0.0286199924612347,0.8,6.0,0.2211183537693965,0.0,0.6380322011438091,0.0218012830049836,0.002,0.991,0.083,local
ovrbench,CreditCustomerData,2400,1368,1303,0.0475146198830409,498,7|7a1f554889|90634a2339,7,0.4285714285714285,0.022669377776745,0.5714285714285714,5.0,0.293275058966105,0.1,0.0,0.0,0.382,0.352,0.15,local
ovrbench,CelestialObjects2,2400,9069,1347,0.8514720476347999,497,14|95e7258530|86908407fc,14,0.4285714285714285,0.0151092633600922,0.1428571428571428,14.0,0.240392056927337,0.0,0.7601526422506729,0.994689814982296,0.369,0.359,0.474,global
oddbench,TBAnomalyDetection,2400,2079,1541,0.2587782587782588,496,3|ee1d64fdd5|684ff1680d,3,0.3333333333333333,0.0152235559996193,0.0,7.0,0.2781687795610891,0.0,0.3128893518125503,0.9939374412869324,0.322,0.391,0.337,local
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,1757,1167,1007,0.1371036846615252,496,16|37feb419f7|4972c8e1ff,16,0.4375,0.0181134804342952,0.5625,15.0,0.5109473510313107,0.1833333333333333,0.0,0.0,0.493,0.364,0.408,local
ovrbench,PsychoPrediction,2400,14736,13651,0.073629207383279,495,3|448f877cad|9d1b17d59f,3,0.6666666666666666,0.0123814027145263,1.0,9.0,0.3042561800307897,0.0166666666666666,0.0342068686041946,0.3473820724017968,0.036,0.85,0.045,global
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,1283,1072,977,0.0886194029850746,493,16|b71bbbec8a|e268dbf4f2,16,0.8125,0.0618943269749512,0.625,14.0,0.5050063861795978,0.4,0.0,0.0,0.505,0.432,0.034,local
ovrbench,CustomerChurn2,2400,1027,941,0.0837390457643622,487,5|18b77bfe9f|ca8e150c5d,5,1.0,0.066604412568306,0.6,10.0,0.3181587398767878,0.1833333333333333,0.0,0.0,0.518,0.282,0.31,local
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,2647,1322,615,0.5347957639939486,487,16|f88879d6c5|5d11fd7d22,16,0.8125,0.0488764372373587,0.3125,14.0,0.4918694163255906,0.5666666666666667,0.0,0.0,0.792,0.189,0.113,local
ovrbench,FinancialMetricsAnomaly,1568,875,733,0.1622857142857142,486,23|b2eebbd2b4|6d3ab4d133,23,0.1304347826086956,0.0094895337458031,0.1739130434782608,3.0,0.378717857242343,0.0,0.5382631850027538,0.0,0.663,0.319,0.09,global
ovrbench,CardiacHealth,2400,5247,3466,0.3394320564131884,486,5|4d6b8eeb73|8a95aad41e,5,1.0,0.0361766666666666,0.2,15.0,0.232352841273761,0.05,0.0001348091244911,0.9970898394388316,0.14,0.591,0.981,local
