corpus,dataset,reg_ifr,reg_matched,reg_beta1,reg_em,reg_mv,truefam
ovrbench,BusinessAnomalies,-0.001295885440906308,0.0407041431136004,0.0,0.0407041431136004,0.0806639843035451,global
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,0.04626903718171688,0.0106707876093055,0.0106707876093055,0.0211784394626483,0.0211784394626483,global
adbench,22_magic.gamma,0.3467303864119783,0.0089589050178894,0.0089589050178894,0.0366809270011165,0.0089589050178894,local
ovrbench,FakeNewsPropagation,0.06937801938839022,0.0974896735792156,0.0974896735792156,0.087826610457798,0.087826610457798,global
ovrbench,philippine,0.029117454880981608,0.0,0.3356601668011946,0.0354917271139756,0.0354917271139756,global
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,0.1435196745954468,0.0,0.0,0.0590325472175309,0.0590325472175309,local
ovrbench,guillermo,0.018164520816915455,0.0349298226793967,0.0349298226793967,0.0110019675884529,0.0110019675884529,global
ovrbench,FinancialTransaction4,0.18526956116390464,0.0330676470216678,0.0330676470216678,0.0686807017117536,0.0686807017117536,local
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,0.09715048696964955,0.0223573619827639,0.0223573619827639,0.0532846393431778,0.0532846393431778,global
ovrbench,SpectralImaging,0.17365026883804413,0.7825221884075265,0.0,0.0050666624314815,0.0050666624314815,global
oddbench,BarExamPrediction,0.19278863899604765,0.1160591280027523,0.1160591280027523,0.1160591280027523,0.1160591280027523,global
ovrbench,SolarFlare,0.12606276795870036,0.1508612817329188,0.1508612817329188,0.0374634820492012,0.0374634820492012,local
ovrbench,ailerons,0.05837460168140107,0.0328174912625623,0.0328174912625623,0.0328174912625623,0.0328174912625623,global
oddbench,FinancialTransactionAnomalies,0.14604003285775452,0.0,0.0,0.0764641909370135,0.0764641909370135,global
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,0.01695176220066488,0.0120168528916525,0.0120168528916525,0.011409888079702,0.0080384844978129,local
oddbench,SalesOrderPriority,0.26352189007975,0.0534493118915616,0.0534493118915616,0.2368609037949609,0.2368609037949609,local
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,0.1759258418802172,0.0,0.0,0.1010231088402686,0.1010231088402686,local
ovrbench,NeuroSignalEEG,0.7061073377003526,0.0,0.0,0.0,0.0,global
ovrbench,EEGEyeState,0.7748200077381957,0.0297244416556626,0.0297244416556626,0.0885723273478502,0.0885723273478502,local
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,0.038384097638078575,0.0303604406991719,0.0303604406991719,0.035341915134979,0.035341915134979,global
