corpus,dataset,dip_frac,mean_dip,bc_frac,gmm_k,silh,dip_proj_frac,dip_proj_minp,bestdir_p
ovrbench,sf-police-incidents,1.0,0.02861999246123472,0.8,6,0.22111835376939656,0.0,0.6380322011438091,0.02180128300498363
ovrbench,PsychoPrediction,0.6666666666666666,0.01238140271452636,1.0,9,0.3042561800307897,0.016666666666666666,0.03420686860419464,0.34738207240179686
ovrbench,KickstarterCampaigns,0.4,0.015280658051954716,0.6,7,0.7810296245203276,0.0,0.09488582602649787,0.9982607251290104
ovrbench,NeuroSignalEEG,0.4166666666666667,0.014206373626810043,0.08333333333333333,1,0.09010541305904257,0.0,0.5637811813933526,0.9272040960527019
ovrbench,ViralProteinFunction,0.3333333333333333,0.029584139931539143,1.0,13,0.5700061530442821,0.1,1.588094130977602e-06,0.9952952530545507
ovrbench,jannis,0.12962962962962962,0.009833431838908661,0.3148148148148148,4,0.22750158927201694,0.0,0.34830211465290317,0.8943986832803773
ovrbench,SolarFlare,0.2,0.01291176916335196,0.9333333333333333,15,0.4927706398891597,0.0,0.5650084391384017,0.8557799040041671
oddbench,GlobalTerrorismAttack,1.0,0.060013975155279495,0.4,13,0.22855309586920855,0.016666666666666666,0.0,0.9877266223652936
ovrbench,EmployeePerformance,1.0,0.036328023979027464,0.0,11,0.3035590543050142,0.06666666666666667,0.0,0.9942554303994792
ovrbench,CreditScoringAnomalies,0.8048780487804879,0.06547763085768402,0.6097560975609756,13,0.2679529790573858,0.06666666666666667,1.4376523788328655e-05,0.0
ovrbench,XSSDetection,0.5892857142857143,0.03908312223783298,0.9285714285714286,14,0.9211281869475619,0.0,0.8584504515754462,0.9996513604884836
ovrbench,UserMovieInteractions,0.8235294117647058,0.03488568850882799,0.4117647058823529,3,0.2555310002900865,0.0,0.6171720304084836,0.571476563844886
oddbench,PropertyCondition,0.5714285714285714,0.06966502865254516,0.7142857142857143,7,0.3177742253863018,0.06666666666666667,0.0,0.0
ovrbench,SpectralImaging,0.8166666666666667,0.0525095679540495,0.45,11,0.17506865674783825,0.03333333333333333,0.01953809310222565,0.13364788636750013
adbench,22_magic.gamma,0.4,0.015540513767030705,0.1,12,0.31342839501346487,0.0,0.28897456764082785,0.9379173804391071
ovrbench,RealEstateListings,0.6666666666666666,0.023470105434518624,0.6666666666666666,14,0.9616753420039444,0.45,0.0,0.027141826811181158
ovrbench,BNG(cmc),1.0,0.03952596937278496,1.0,12,0.4842639478422658,0.11666666666666667,0.0,0.9346846155605254
ovrbench,BoundingBoxClassification,0.75,0.021136757235205226,0.5,15,0.36219540888450663,0.26666666666666666,0.0,0.00040664864140804724
ovrbench,FireRiskAnalysis,0.5333333333333333,0.012714440404366867,0.2,5,0.26932082873270347,0.0,0.11487314800617665,0.9930875271663873
ovrbench,CardiacHealth,1.0,0.036176666666666676,0.2,15,0.232352841273761,0.05,0.00013480912449115312,0.9970898394388317
ovrbench,PhysicsTraining,0.5918367346938775,0.03110512409193558,0.5510204081632653,11,0.3471235234561448,0.03333333333333333,0.0025158523283841383,0.0
ovrbench,HealthActivityObesity,0.16666666666666666,0.008376467317892758,0.16666666666666666,7,0.43905666667882487,0.0,0.404333926225667,0.9455020319762707
oddbench,SalesOrderPriority,0.2857142857142857,0.02447967329441215,0.7142857142857143,15,0.42099098561573384,0.11666666666666667,0.0,0.9902565345020008
oddbench,MouseInteractionPhase,0.6,0.03982692213069481,0.6,15,0.3446182026910919,0.13333333333333333,3.072225943845375e-05,0.339062626283283
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,0.7549668874172185,0.04478880762948179,0.6986754966887417,14,0.32816824907500325,0.0,0.10823726359342345,0.0
ovrbench,Run_or_walk_information,1.0,0.03333345302298022,0.16666666666666666,13,0.3963953136805272,0.38333333333333336,0.0,0.36907943164652723
oddbench,ProsperLoan,0.6060606060606061,0.027865196352489418,0.6363636363636364,9,0.24502405766746826,0.016666666666666666,0.00013199693705756577,0.9971543662892732
ovrbench,JobChangePatterns,0.6666666666666666,0.05340000000000001,1.0,13,0.46198178714224525,0.55,0.0,0.0
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,0.8125,0.0697919466275165,0.6875,12,0.5810279364127918,0.45,0.0,0.0
oddbench,CourseRegistration,0.8,0.03575384615384615,0.8,15,0.8641522633185676,1.0,0.0,0.0005544158938489696
oddbench,RacingMotion,0.8,0.04401702082169211,0.5,14,0.26252082134749366,0.16666666666666666,0.0,0.18670596556976116
oddbench,PoliceForceDisturbance,1.0,0.042461921903983596,0.3333333333333333,6,0.23370543157016543,0.0,0.10045388065828387,0.0
ovrbench,FakeNewsPropagation,0.6363636363636364,0.02491702594107483,0.8181818181818182,13,0.8260957901741848,0.23333333333333334,0.0,0.0
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,0.75,0.05280979629234128,0.625,7,0.5312740009069272,0.35,0.0,0.0
ovrbench,WebpageSessionIntrusion,1.0,0.05109836145347606,1.0,9,0.6648152280958558,0.9333333333333333,0.0,1.1675533928556803e-07
ovrbench,FinancialTransaction4,1.0,0.07799433333333332,0.7142857142857143,13,0.36238787987590343,0.25,0.0,0.0
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,0.8125,0.07316692927315066,0.5,12,0.5400724989133912,0.55,0.0,0.0
oddbench,FinancialTransactionAnomalies,0.6,0.01656963737995886,0.8,8,0.23344745830020414,0.0,0.05273884999346101,0.49804836725498547
oddbench,ProtestViolence,0.7142857142857143,0.035257383439750066,0.5714285714285714,15,0.9335232366512988,0.25,0.0,0.1561456261709201
ovrbench,TextAnomalyDetection,0.1111111111111111,0.006369372417808152,0.5555555555555556,5,0.443754523851282,0.0,0.3418525704273381,0.9989166049028392
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,0.6875,0.03383761119514557,0.625,13,0.6189959869005058,0.4166666666666667,0.0,0.0
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,0.43283582089552236,0.03671767343480469,0.5895522388059702,15,0.17153996156900478,0.0,0.47309232474778795,0.0
oddbench,HumanRobotCollaboration,1.0,0.041059545504133606,0.6666666666666666,7,0.31221866716950386,0.25,1.8576327621699917e-05,0.03047353745948156
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,0.2,0.010382421972901205,0.285,7,0.2753808359324612,0.0,0.4379532444022707,0.9921914667272742
oddbench,TBAnomalyDetection,0.3333333333333333,0.015223555999619373,0.0,7,0.27816877956108915,0.0,0.3128893518125503,0.9939374412869324
dami,SpamBase,0.08771929824561403,0.005735246962417165,0.9473684210526315,14,0.7655068183406402,0.0,0.2178448395825936,0.9920872691845696
adbench,35_SpamBase,0.15789473684210525,0.008026721485625441,0.9473684210526315,15,0.7642969102815313,0.0,0.35118947224850705,0.9965420517964116
ovrbench,CelestialObjects2,0.42857142857142855,0.015109263360092214,0.14285714285714285,14,0.24039205692733703,0.0,0.7601526422506729,0.9946898149822959
ovrbench,NetworkHealthMonitor,0.6363636363636364,0.03309651189318687,0.7272727272727273,10,0.935980608827562,0.4166666666666667,0.0,0.9923264852405254
ovrbench,Word2VecPCA,0.3333333333333333,0.00927400288037761,0.3333333333333333,8,0.6604140190751789,0.08333333333333333,0.0,0.0
ovrbench,AmazonReviewAnomalies,1.0,0.06884298936015158,1.0,15,0.49430946361508266,0.65,0.0,0.01640182594004691
oddbench,GeneticVariation,0.5,0.012989241510218923,0.8333333333333334,10,0.7507985012109868,0.4166666666666667,0.0,0.001785395601981321
oddbench,BuildingInspections,0.8,0.07943560349665398,0.8,12,0.6074442883957317,1.0,0.0,0.0
ovrbench,CreditCustomerData,0.42857142857142855,0.02266937777674502,0.5714285714285714,5,0.293275058966105,0.1,0.0,0.0
ovrbench,ailerons,0.9285714285714286,0.0628562017871412,0.0,7,0.4932590119041763,0.0,0.5589762141431931,0.002613612565581569
ovrbench,compass,1.0,0.0565324765063571,1.0,15,0.376959679130008,0.05,0.0,0.6091497326442399
ovrbench,guillermo,0.007478382799719561,0.005752751257845411,0.9226454779154007,11,0.1964056847817136,0.0,0.5926054476049643,0.5329822870850129
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,0.6875,0.04550518033958241,0.4375,14,0.5103651505737163,0.4166666666666667,0.0,0.0
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,0.5625,0.022348659440612626,0.6875,11,0.5755673076327408,0.2833333333333333,0.0,0.0
oddbench,DiamondClarity,1.0,0.04723217681169434,0.3,13,0.3141484979259667,0.016666666666666666,0.04760235032144233,0.0
adbench,19_landsat,1.0,0.03621624583973374,0.25,11,0.5092036062111303,0.6,0.0,0.0
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,0.4375,0.018113480434295236,0.5625,15,0.5109473510313107,0.18333333333333332,0.0,0.0
ovrbench,MalariaDetection,0.8,0.032149431049611196,1.0,11,0.693447790908423,1.0,0.0,0.0
ovrbench,SensorAnomaly,0.2,0.01556625038416739,0.3,5,0.2659276261788026,0.03333333333333333,0.00010799129738714441,2.0373866699174847e-05
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,0.44776119402985076,0.03674503176591686,0.5373134328358209,8,0.14842521123196428,0.0,0.3239934212983693,0.017318220625257674
oddbench,GPUResourceUsage,1.0,0.034251001563478656,1.0,14,0.9459270504717792,1.0,0.0,0.0
ovrbench,PokemonBattle,1.0,0.03451537698412699,0.0,4,0.18039015905840458,0.0,0.27699041958007176,0.07815325530369943
ovrbench,EEGEyeState,0.42857142857142855,0.013737912901699302,0.7142857142857143,11,0.9823577338338236,0.0,0.4666821252852754,0.9945984728473422
ovrbench,ShuttleOperations,1.0,0.05182291666666667,0.75,14,0.4963499586306484,0.0,0.2475196818825539,0.9917725966594834
tsbad_m,188_Exathlon_id_15_Facility_tr_12538_1st,0.5562913907284768,0.04151026498641025,0.6026490066225165,15,0.9226967706090736,0.016666666666666666,9.047332599765312e-07,0.0
ovrbench,BusinessAnomalies,0.8,0.08795442745469033,0.8,15,0.5661777428659462,0.25,0.0,0.0
oddbench,BarExamPrediction,0.6,0.041097179845600844,0.4,15,0.21222297431772075,0.0,0.6001745934060707,0.9961838595546862
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,0.8125,0.06189432697495121,0.625,14,0.5050063861795978,0.4,0.0,0.0
ovrbench,CustomerChurn2,1.0,0.066604412568306,0.6,10,0.3181587398767878,0.18333333333333332,0.0,0.0
ovrbench,AirPressure,0.6964285714285714,0.02950611360323051,0.9880952380952381,11,0.8622816712635581,0.13333333333333333,0.0,0.0
oddbench,TrialBehavior,0.0,0.006544647993945426,0.0,4,0.3461080229990177,0.0,0.49517342841082124,0.9983612786440366
oddbench,TransactionFeeAnomalies,1.0,0.03834259259259261,1.0,14,0.9923548212169928,0.6666666666666666,0.0,0.0002687449746594517
ovrbench,TrafficSensor,1.0,0.07313576656894016,0.5555555555555556,13,0.2762253147035185,0.43333333333333335,0.0,0.0
oddbench,RulePriorityAnomalies,1.0,0.033383220720720655,0.75,13,0.40427020226986726,0.25,0.0,0.6425312089976487
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,0.9375,0.05764043075492326,0.4375,12,0.5569893216861063,0.6166666666666667,0.0,0.0
ovrbench,GeotechnicalAnomalies,0.3333333333333333,0.0146894867245466,0.3333333333333333,9,0.229431205549935,0.0,0.17598939657331758,0.09823196347443042
ovrbench,FootballEfficiency,0.16666666666666666,0.014332563548217499,0.0,3,0.13520512074275323,0.0,0.4831780183232657,0.0
ovrbench,SepsisMonitoring,0.8333333333333334,0.0397071313757965,0.5,12,0.22236023347785608,0.0,0.7126175590295487,0.8531159026437338
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,0.75,0.04175497195816501,0.5,7,0.5260252088095264,0.4166666666666667,0.0,0.0
oddbench,HealthPulse,0.6071428571428571,0.032949141499202035,0.10714285714285714,6,0.2263887973168254,0.0,0.7106276006646846,0.9974413145191101
ovrbench,FICO-HELOC-cleaned,0.9523809523809523,0.07107550204425205,0.23809523809523808,7,0.1329675615135707,0.0,0.5409188523118769,0.9958710931678294
