corpus,dataset,truefam,reg_small,reg_edge,reg_beta1,reg_random,rho_small,rho_edge,rho_beta1
ovrbench,BusinessAnomalies,global,0.0895687465456661,0.1926304189790297,0.0,0.13851814666115564,0.07504953965110664,0.19989702664435577,0.29077101300038616
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,global,0.04158298028025176,0.0785188779883771,0.010670787609305593,0.040230143658167586,-0.45594621095391513,-0.22818321893822666,0.1645888779941168
adbench,22_magic.gamma,local,0.41354782147117486,0.5730701634546792,0.00895890501788943,0.3176403023675413,-0.18283090976510594,-0.9086706821683708,0.8579633001820983
ovrbench,FakeNewsPropagation,global,0.27336924683276853,0.24586271433091134,0.09748967357921567,0.255256589467067,-0.3448045854618356,0.43809523809523815,0.5891891891891892
ovrbench,philippine,global,0.048437476570813986,0.058710771997139755,0.3356601668011946,0.20027434953894352,0.8488319729270193,0.7307370832298955,-0.5848510212252276
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,local,0.17663767842968975,0.13086911069084262,0.0,0.12736658785147176,-0.6344445874629939,-0.5633929720684773,0.554640236838718
ovrbench,guillermo,global,0.08904120304293706,6.42527548702157e-05,0.034929822679396774,0.02253297575055323,0.02668737799749919,0.7542784417212819,-0.4885154061624651
ovrbench,FinancialTransaction4,local,0.20314956250483798,0.22481383714145065,0.03306764702166781,0.18146907629094772,-0.10727626177617566,-0.1487869235335306,0.8821106821106822
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,global,0.022930583536738616,0.1017927091050799,0.022357361982763987,0.06943891940309302,0.43190573479890093,-0.3909126013643969,0.3458617582700476
ovrbench,SpectralImaging,global,0.6176565849835477,0.2574490541019929,0.0,0.5057472419374434,0.6979785329485568,0.4591036414565826,-0.11820728291316528
oddbench,BarExamPrediction,global,0.0,0.11038547708472074,0.11605912800275237,0.19638198194672996,0.6476361759658936,0.7430099312452253,0.4056531703590527
ovrbench,SolarFlare,local,0.08609665620390139,0.4158397524386394,0.15086128173291885,0.2425430856786358,0.4484620647182476,0.3397759103641457,0.6355742296918768
ovrbench,ailerons,global,0.04886454017015596,0.08906459139758671,0.03281749126256239,0.2111839320839835,0.8903819150109765,0.8209007514708315,0.8097772797310547
oddbench,FinancialTransactionAnomalies,global,0.08068798169492929,0.15376358396341872,0.0,0.09623512198157178,-0.41757066462948816,-0.6870893812070282,0.33231474407944994
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,local,0.023176332620697633,0.03564526653629747,0.012016852891652587,0.02342418003050801,-0.07967563392972069,-0.31908868580254857,0.38190243274552704
oddbench,SalesOrderPriority,local,0.3236689944831911,0.3258633178087704,0.05344931189156163,0.2697385755186295,0.0654856315421323,-0.49208392328485007,0.3649118290642296
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,local,0.11412740466740821,0.1752802470777658,0.0,0.13893704158322898,0.6223452181747973,-0.5960870124855193,0.8179945938988287
ovrbench,NeuroSignalEEG,global,0.8739747623598793,0.7479214712489435,0.0,0.6722179702494917,-0.3674560733384262,-0.7310924369747898,0.7970970206264323
ovrbench,EEGEyeState,local,0.08857232734785025,0.7594672808608265,0.02972444165566268,0.6187400797476434,0.09749032113930205,-0.80048912343931,0.8674218046080576
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,global,0.03725212202849269,0.055159275662230556,0.030360440699171903,0.042218358647537556,0.16234309926138915,-0.5255502638692238,0.5937701119835241
ovrbench,jannis,global,0.12087875622795383,0.12087875622795383,0.1803917761602114,0.17872366472088883,0.3007015580235084,0.3876750700280112,-0.3851540616246499
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,local,0.06215225524725164,0.1532519107425685,0.04522352466914077,0.10410812185125237,-0.07838846698416783,-0.781439052645128,0.9343544857768052
ovrbench,AmazonReviewAnomalies,global,0.15949241761989597,0.11075360582703658,0.07709368382899112,0.3017580575380395,0.8207658996502931,0.783412720650042,0.19501260857383018
ovrbench,sf-police-incidents,global,0.12477382312499916,0.07133376073865119,0.11714121428318164,0.08344529403149921,-0.08922818321893822,-0.10547695755708082,-0.3808656674604286
ovrbench,CreditCustomerData,global,0.20491098604226787,0.15741428517565678,0.11974335838806047,0.15678925184283563,-0.6649859943977592,-0.4282913165266107,0.5644257703081234
