corpus,dataset,truefam,reg_random,reg_beta1,reg_matched,reg_em,reg_mv,reg_consensus,reg_model_centrality,reg_hits
ovrbench,BusinessAnomalies,global,0.1386530945014788,0.0,0.04070414311360049,0.04070414311360049,0.08066398430354516,0.08066398430354516,0.08066398430354516,0.08066398430354516
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,global,0.040809478417633216,0.010670787609305593,0.010670787609305593,0.021178439462648357,0.021178439462648357,0.04158298028025176,0.04158298028025176,0.04158298028025176
adbench,22_magic.gamma,local,0.3124227526012907,0.00895890501788943,0.00895890501788943,0.03668092700111658,0.00895890501788943,0.25029821379254613,0.25029821379254613,0.35440397008828406
ovrbench,FakeNewsPropagation,global,0.2492496266293316,0.09748967357921567,0.09748967357921567,0.087826610457798,0.087826610457798,0.10428124533062955,0.10428124533062955,0.10428124533062955
ovrbench,philippine,global,0.19296594337633793,0.3356601668011946,0.0,0.03549172711397569,0.03549172711397569,0.30540659193548847,0.30540659193548847,0.30540659193548847
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,local,0.12861100037417872,0.0,0.0,0.059032547217530984,0.059032547217530984,0.19442005949216046,0.19442005949216046,0.11237717260732483
ovrbench,guillermo,global,0.02250346828312357,0.034929822679396774,0.034929822679396774,0.01100196758845292,0.01100196758845292,0.016219112055030325,0.016219112055030325,0.01471864084347779
ovrbench,FinancialTransaction4,local,0.18253928837454253,0.03306764702166781,0.03306764702166781,0.06868070171175361,0.06868070171175361,0.20314956250483798,0.20314956250483798,0.19473568797290564
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,global,0.07051402374030274,0.022357361982763987,0.022357361982763987,0.053284639343177856,0.053284639343177856,0.09259342057582944,0.09259342057582944,0.06997074635616438
ovrbench,SpectralImaging,global,0.49201756290871523,0.0,0.7825221884075265,0.005066662431481572,0.005066662431481572,0.14372547222679943,0.14372547222679943,0.14372547222679943
oddbench,BarExamPrediction,global,0.20106713703779486,0.11605912800275237,0.11605912800275237,0.11605912800275237,0.11605912800275237,0.21922853788187033,0.21922853788187033,0.11038547708472074
ovrbench,SolarFlare,local,0.24228009963995445,0.15086128173291885,0.15086128173291885,0.03746348204920125,0.03746348204920125,0.12207381009509727,0.12207381009509727,0.12207381009509727
ovrbench,ailerons,global,0.2039390400981167,0.03281749126256239,0.03281749126256239,0.03281749126256239,0.03281749126256239,0.1194465674569998,0.1194465674569998,0.049757086218163105
oddbench,FinancialTransactionAnomalies,global,0.09626543716448567,0.0,0.0,0.07646419093701351,0.07646419093701351,0.15497294824492824,0.15497294824492824,0.15497294824492824
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,local,0.023420022838346155,0.012016852891652587,0.012016852891652587,0.011409888079702044,0.008038484497812914,0.01801146317161461,0.01801146317161461,0.01801146317161461
oddbench,SalesOrderPriority,local,0.2697328263702126,0.05344931189156163,0.05344931189156163,0.23686090379496094,0.23686090379496094,0.2636265925149016,0.2636265925149016,0.2870428785419169
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,local,0.13833258718101307,0.0,0.0,0.10102310884026869,0.10102310884026869,0.17809815180517521,0.17809815180517521,0.17747542140749223
ovrbench,NeuroSignalEEG,global,0.6742411218651461,0.0,0.0,0.0,0.0,0.7437806181116375,0.7437806181116375,0.7479214712489435
ovrbench,EEGEyeState,local,0.6194390166043447,0.02972444165566268,0.02972444165566268,0.08857232734785025,0.08857232734785025,0.7632778498204834,0.7632778498204834,0.7632778498204834
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,global,0.04332983266361887,0.030360440699171903,0.030360440699171903,0.03534191513497904,0.03534191513497904,0.035322158686597535,0.035322158686597535,0.035322158686597535
ovrbench,jannis,global,0.1827313836408232,0.1803917761602114,0.023959748608718745,0.0,0.0,0.2710174819236388,0.2710174819236388,0.2710174819236388
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,local,0.1039832824313082,0.04522352466914077,0.04522352466914077,0.05374857906172624,0.05374857906172624,0.11959368417271907,0.11959368417271907,0.11959368417271907
ovrbench,AmazonReviewAnomalies,global,0.30220061566430606,0.07709368382899112,0.07741850495000163,0.07709368382899112,0.1633976560313682,0.07741850495000163,0.07741850495000163,0.1633976560313682
ovrbench,sf-police-incidents,local,0.07574830896510648,0.10752745160812226,0.10752745160812226,0.10752745160812226,0.10752745160812226,0.08264339985561552,0.08264339985561552,0.08264339985561552
ovrbench,CreditCustomerData,local,0.10750637599694018,0.06942830029913609,0.05582213491081191,0.17646881541907905,0.17646881541907905,0.0841258293959576,0.0841258293959576,0.0841258293959576
ovrbench,CelestialObjects2,global,0.2912592997734523,0.22847990460546844,0.14382388785169553,0.14382388785169553,0.14382388785169553,0.14382388785169553,0.14382388785169553,0.14382388785169553
oddbench,TBAnomalyDetection,local,0.18362360699241764,0.21472962799358847,0.05966859491927412,0.07703861572314308,0.07703861572314308,0.13299244092035678,0.13299244092035678,0.13299244092035678
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,local,0.09955261180557512,0.023154072969982342,0.023154072969982342,0.007914983672591358,0.14367240565525913,0.14367240565525913,0.14367240565525913,0.14367240565525913
ovrbench,PsychoPrediction,global,0.13063351019862166,0.04114834201798662,0.04114834201798662,0.09518075421361441,0.04114834201798662,0.22675707973138456,0.22675707973138456,0.22675707973138456
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,local,0.0326284974385477,0.011762847096862233,0.011762847096862233,0.010561180514007694,0.011609676424827194,0.034925629284036426,0.034925629284036426,0.004361075934736652
ovrbench,CustomerChurn2,local,0.2051861235801658,0.28018869764019183,0.28018869764019183,0.11185894499926652,0.48362469975108147,0.13332885324762828,0.13332885324762828,0.13332885324762828
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,local,0.09460608245588589,0.051023792119596414,0.051023792119596414,0.051023792119596414,0.0550871514895692,0.10014065170476358,0.10014065170476358,0.10014065170476358
