corpus,dataset,n_hard,base_rate,oracle_apnorm,truefam
ovrbench,BusinessAnomalies,857,0.417,0.35,global
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,782,0.249,0.121,global
adbench,22_magic.gamma,3896,0.765,0.537,local
ovrbench,FakeNewsPropagation,1953,0.619,0.404,global
ovrbench,philippine,720,0.552,0.379,global
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,1187,0.321,0.526,local
ovrbench,guillermo,1327,0.525,0.045,global
ovrbench,FinancialTransaction4,1830,0.604,0.291,local
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,1247,0.351,0.093,global
ovrbench,SpectralImaging,3209,0.728,0.838,global
oddbench,BarExamPrediction,779,0.394,0.45,global
ovrbench,SolarFlare,6688,0.848,0.447,local
ovrbench,ailerons,1203,0.501,0.343,global
oddbench,FinancialTransactionAnomalies,1826,0.603,0.088,global
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,1766,0.194,0.029,local
oddbench,SalesOrderPriority,3343,0.736,0.219,local
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,708,0.214,0.119,local
ovrbench,NeuroSignalEEG,12945,0.915,0.649,global
ovrbench,EEGEyeState,1013,0.458,0.809,local
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,739,0.219,0.054,global
ovrbench,jannis,7249,0.858,0.295,global
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,1184,0.334,0.075,local
ovrbench,AmazonReviewAnomalies,739,0.381,0.528,global
ovrbench,sf-police-incidents,253721,0.995,0.083,local
ovrbench,CreditCustomerData,1303,0.521,0.15,local
ovrbench,CelestialObjects2,1347,0.529,0.474,global
oddbench,TBAnomalyDetection,1541,0.562,0.337,local
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,1167,0.399,0.408,local
ovrbench,PsychoPrediction,13651,0.919,0.045,global
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,435,0.253,0.034,local
ovrbench,CustomerChurn2,941,0.44,0.31,local
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,604,0.186,0.113,local
ovrbench,FinancialMetricsAnomaly,733,0.483,0.09,global
ovrbench,CardiacHealth,3466,0.743,0.981,local
ovrbench,SensorAnomaly,1094,0.477,0.202,local
ovrbench,BCellImmunity,559,0.318,0.221,global
oddbench,HealthPulse,812,0.404,0.085,local
oddbench,PropertyCondition,4886,0.803,0.037,local
ovrbench,HealthActivityObesity,3539,0.747,-0.042,local
oddbench,TransactionFeeAnomalies,941,0.44,0.579,local
ovrbench,TwitterEmotion,582,0.494,0.141,local
ovrbench,BoundingBoxClassification,2131,0.64,0.713,global
ovrbench,FootballEfficiency,808,0.402,0.276,local
oddbench,GeneticVariation,959,0.511,0.317,global
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,1687,0.267,0.556,global
adbench,35_SpamBase,1679,0.768,0.733,global
dami,SpamBase,1679,0.768,0.739,global
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,1791,0.425,0.064,local
oddbench,ProsperLoan,2839,0.703,0.104,local
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,650,0.107,0.016,local
ovrbench,JobChangePatterns,2712,0.693,0.404,global
ovrbench,TrafficSensor,672,0.359,0.714,local
ovrbench,PokemonBattle,1045,0.465,0.307,local
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,723,0.174,0.094,local
ovrbench,RealEstateListings,4318,0.783,-0.031,local
oddbench,BuildingInspections,1357,0.531,0.222,global
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,1122,0.189,0.14,local
ovrbench,ViralProteinFunction,9441,0.887,0.255,local
ovrbench,GeotechnicalAnomalies,867,0.506,0.139,local
ovrbench,BreastCancer,488,0.417,0.146,global
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,784,0.223,0.143,local
oddbench,ProtestViolence,1764,0.595,0.776,global
ovrbench,UserMovieInteractions,5122,0.81,0.213,global
ovrbench,Word2VecPCA,1429,0.544,0.056,global
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,483,0.153,0.191,local
ovrbench,TextAnomalyDetection,1902,0.613,-0.031,global
ovrbench,BNG(cmc),4336,0.783,0.168,global
oddbench,GlobalTerrorismAttack,6533,0.845,0.099,global
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,499,0.076,0.481,local
ovrbench,FICO-HELOC-cleaned,802,0.438,0.104,local
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,514,0.353,0.23,local
oddbench,TrialBehavior,954,0.443,0.124,global
ovrbench,compass,1329,0.526,0.065,local
ovrbench,KickstarterCampaigns,13462,0.918,0.012,local
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,1745,0.446,0.488,global
adbench,19_landsat,1123,0.524,0.564,local
ovrbench,SpatialAnomalies,474,0.481,0.574,local
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,614,0.185,0.159,local
oddbench,RulePriorityAnomalies,798,0.556,0.108,global
oddbench,WaterChemistry,474,0.286,0.63,local
ovrbench,EmployeePerformance,6675,0.848,0.522,local
ovrbench,SepsisMonitoring,806,0.402,0.103,local
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,427,0.142,0.164,global
ovrbench,BatchProcessingEvents,791,0.397,0.012,local
ovrbench,PhysicsTraining,3461,0.743,0.037,local
ovrbench,volkert,425,0.262,0.757,global
ovrbench,FireRiskAnalysis,3631,0.752,0.131,global
adbench,30_satellite,699,0.443,0.442,global
oddbench,AttackIncidents,520,0.366,0.034,local
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,455,0.157,0.523,local
ovrbench,RealEstateData,491,0.398,0.506,global
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,452,0.143,0.216,local
oddbench,RacingMotion,1998,0.625,0.999,local
ovrbench,CryptojackingSystem,415,0.257,0.322,local
oddbench,LandShapeAnomaly,378,0.347,0.175,global
ovrbench,CreditScoringAnomalies,6153,0.837,0.079,local
ovrbench,XSSDetection,5040,0.808,0.465,global
ovrbench,NetworkHealthMonitor,787,0.396,0.021,local
oddbench,OkCupidUserBehavior,374,0.398,0.082,local
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,436,0.142,0.217,local
ovrbench,KDD,434,0.463,0.058,global
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,432,0.141,0.1,local
oddbench,PoliceForceDisturbance,2034,0.629,0.292,local
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,397,0.126,0.138,local
ovrbench,WebpageSessionIntrusion,1975,0.622,0.061,local
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,689,0.142,0.1,global
ovrbench,UrlAnalysis,613,0.491,0.558,global
oddbench,CourseRegistration,2191,0.646,0.065,local
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,418,0.129,0.051,local
dami,Annthyroid,349,0.225,0.361,global
oddbench,GPUResourceUsage,1094,0.477,0.475,local
ovrbench,KenyaMovement,338,0.22,0.077,local
tsbad_m,137_CreditCard_id_1_Finance_tr_500_1st_5,1041,0.247,0.362,global
oddbench,DiamondClarity,1211,0.502,0.876,local
oddbench,HealthBehavior,293,0.234,0.075,global
ovrbench,ShillBidding,276,0.196,0.59,global
oddbench,SalesPerformance,325,0.381,0.436,global
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,396,0.15,0.357,global
oddbench,HumanRobotCollaboration,1728,0.59,0.583,local
oddbench,EmailSpamDetection,290,0.375,0.616,global
oddbench,VoteOutcome,260,0.178,0.784,local
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,730,0.134,0.329,local
ovrbench,SyntheticNumericalBatch,317,0.243,0.175,local
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,265,0.095,0.236,local
ovrbench,Run_or_walk_information,2659,0.689,0.564,local
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,291,0.109,0.491,global
ovrbench,FinancialTransaction1,357,0.229,0.033,global
oddbench,ArtSalesPlatform,424,0.261,0.198,global
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,394,0.124,0.054,local
ovrbench,visualizing_soil,234,0.197,0.841,global
ovrbench,AbstractAnomalyBatch,291,0.195,0.931,local
ovrbench,GamingBehavior,311,0.237,0.695,local
oddbench,GeneticAnalysis,245,0.181,0.082,global
oddbench,AxieInfinityBug,313,0.207,0.078,global
oddbench,RealEstateBlockType,228,0.312,0.093,global
oddbench,WaterPointFunctionality,511,0.299,0.08,local
oddbench,SMSClassification,237,0.197,0.435,global
ovrbench,KPIData,371,0.236,0.036,local
ovrbench,ShuttleOperations,743,0.382,0.891,local
oddbench,CasePriority,210,0.149,0.28,local
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,229,0.075,0.06,global
adbench,44_Wilt,252,0.216,0.671,local
ovrbench,SpotifyHitPredictor,200,0.238,0.355,global
dami,Wilt,252,0.216,0.173,local
oddbench,TreadmillStatus,582,0.327,0.625,local
ovrbench,students_dropout_and_academic_success,190,0.301,0.271,local
ovrbench,MalariaDetection,1082,0.474,0.693,global
ovrbench,GesturePhaseSegmentationProcessed,537,0.476,0.434,local
ovrbench,HealthMetrics,209,0.177,0.079,local
oddbench,BugSeverity,193,0.274,0.107,global
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,205,0.067,0.062,local
oddbench,LandRarity,295,0.345,0.15,global
oddbench,ProgrammingAnomalies,242,0.168,0.189,local
oddbench,WindowsEditionAnomaly,181,0.131,0.584,global
ovrbench,BankruptcyForecast,186,0.134,0.099,global
ovrbench,seismic-bumps,152,0.239,0.159,local
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,212,0.081,0.4,global
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,158,0.052,0.217,local
