corpus,dataset,reg_udr,reg_matched,reg_em,reg_random,truefam
ovrbench,BusinessAnomalies,0.10498620551992566,0.0407041431136004,0.0407041431136004,0.1386530945014788,global
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,0.07382501726114746,0.0106707876093055,0.0211784394626483,0.0408094784176332,global
adbench,22_magic.gamma,0.3371581663921732,0.0089589050178894,0.0366809270011165,0.3124227526012907,local
ovrbench,FakeNewsPropagation,0.065719097009523,0.0974896735792156,0.087826610457798,0.2492496266293316,global
ovrbench,philippine,-0.028040571556951166,0.0,0.0354917271139756,0.1929659433763379,global
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,0.18586991979469675,0.0,0.0590325472175309,0.1286110003741787,local
ovrbench,guillermo,0.01368882296555067,0.0349298226793967,0.0110019675884529,0.0225034682831235,global
ovrbench,FinancialTransaction4,0.15396193298621139,0.0330676470216678,0.0686807017117536,0.1825392883745425,local
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,0.10360867495176407,0.0223573619827639,0.0532846393431778,0.0705140237403027,global
ovrbench,SpectralImaging,0.14855499190505905,0.7825221884075265,0.0050666624314815,0.4920175629087152,global
oddbench,BarExamPrediction,0.17531121088423968,0.1160591280027523,0.1160591280027523,0.2010671370377948,global
ovrbench,SolarFlare,0.12015207177895548,0.1508612817329188,0.0374634820492012,0.2422800996399544,local
ovrbench,ailerons,0.06443133187668365,0.0328174912625623,0.0328174912625623,0.2039390400981167,global
oddbench,FinancialTransactionAnomalies,0.15049890567349938,0.0,0.0764641909370135,0.0962654371644856,global
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,0.00991948069444196,0.0120168528916525,0.011409888079702,0.0234200228383461,local
oddbench,SalesOrderPriority,0.25642244896689537,0.0534493118915616,0.2368609037949609,0.2697328263702126,local
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,0.17736931224730204,0.0,0.1010231088402686,0.138332587181013,local
ovrbench,NeuroSignalEEG,0.7263531084632002,0.0,0.0,0.6742411218651461,global
ovrbench,EEGEyeState,0.7677451645443173,0.0297244416556626,0.0885723273478502,0.6194390166043447,local
