dataset,modality,n_hard,inside,edge,outside,between,med_radial,med_recon,med_density
AquaticMacroInverts,tabular,293,0.4232081911262799,0.03754266211604096,0.006825938566552901,0.5324232081911263,90.62950504565113,92.5036040365209,95.33877943296491
ArchaeologicalAnomalies,tabular,118,0.9576271186440678,0.025423728813559324,0.0,0.01694915254237288,58.70646766169154,30.34825870646766,47.86069651741294
ArtCollections,tabular,22,0.9545454545454546,0.045454545454545456,0.0,0.0,69.33757109401138,64.00133824021412,68.94446303111408
AustinCrime,tabular,160,0.6375,0.33125,0.0125,0.01875,76.09866436880655,62.99009047824213,76.60491167600173
BarExamPrediction,tabular,297,0.5723905723905723,0.08080808080808081,0.09764309764309764,0.24915824915824916,85.4481546572935,64.37609841827768,86.32688927943761
BaseballBattedBall,tabular,94,0.7021276595744681,0.05319148936170213,0.0,0.24468085106382978,75.85697399527187,70.56737588652483,82.86052009456264
BaseballPitchingAnomalies,tabular,20,0.55,0.0,0.0,0.45,77.49233128834356,53.45092024539878,83.70398773006134
BuildingEnergyCompliance,tabular,110,0.9636363636363636,0.00909090909090909,0.0,0.02727272727272727,55.93893768297784,46.340443329150986,55.89711417816814
BuildingInspections,tabular,642,0.7149532710280374,0.14174454828660435,0.04984423676012461,0.09345794392523364,89.31839402427639,36.74136321195145,97.16153127917833
BusTracking,tabular,246,0.7723577235772358,0.036585365853658534,0.11788617886178862,0.07317073170731707,63.77816291161178,49.79780473714616,83.88214904679376
BusinessProcessFraud,tabular,129,0.5426356589147286,0.15503875968992248,0.046511627906976744,0.2558139534883721,87.72571986334798,89.11664226451927,88.60419716935091
CasePriority,tabular,53,0.4528301886792453,0.2641509433962264,0.0,0.2830188679245283,90.6360722119116,92.44137000168719,92.55947359541084
CellMorphology,tabular,75,0.06666666666666667,0.0,0.56,0.37333333333333335,99.16666666666667,47.05128205128205,96.53846153846153
CityTreeCondition,tabular,48,0.5208333333333334,0.125,0.0,0.3541666666666667,87.51084128360799,77.1899392888118,87.16392020815265
AbstractAnomalyBatch,tabular,135,0.8296296296296296,0.02962962962962963,0.014814814814814815,0.1259259259259259,61.4256480218281,49.60777626193724,67.2237380627558
ActivityRecognition,tabular,138,0.0,0.0,1.0,0.0,99.43310657596372,96.48526077097506,99.09297052154194
AirPressure,tabular,61,0.03278688524590164,0.2459016393442623,0.45901639344262296,0.26229508196721313,98.93129770992365,97.4724342663274,98.91433418150976
AmazonReviewAnomalies,tabular,782,0.5524296675191815,0.2608695652173913,0.10485933503836317,0.08184143222506395,88.85356646135506,92.62865090403338,93.31412676336181
BCellImmunity,tabular,349,0.8051575931232091,0.017191977077363897,0.025787965616045846,0.1518624641833811,65.28515763372299,54.88841657810839,78.09068366985477
BatchProcessingEvents,tabular,912,0.668859649122807,0.1206140350877193,0.08333333333333333,0.12719298245614036,59.89337707607136,62.03608775886816,60.652040188640555
BoundingBoxClassification,tabular,278,0.17266187050359713,0.16906474820143885,0.44964028776978415,0.20863309352517986,98.74526986656045,91.4758016331408,98.75522804222267
