dataset,modality,corpus,n_variants,base_rate,best_ap_norm,mean_ap_norm,spread_ap_norm,best_auc,gt_best
44_Wilt,tabular,adbench_dami,36,0.2197,0.6856,0.0837,0.6019,0.9235,LOF_k3
40_vowels,tabular,adbench_dami,35,0.0874,0.8297,0.2528,0.5769,0.9801,LOF_k3
20_letter,tabular,adbench_dami,35,0.2268,0.7693,0.248,0.5214,0.9264,LOF_k10
26_optdigits,tabular,adbench_dami,35,0.1152,0.9794,0.496,0.4834,0.9987,LOF_k10
Annthyroid,tabular,adbench_dami,36,0.25,0.5166,0.1016,0.415,0.8639,HBOS_b100
38_thyroid,tabular,adbench_dami,36,0.043,0.7255,0.3183,0.4072,0.989,HBOS_b100
27_PageBlocks,tabular,adbench_dami,36,0.2376,0.7172,0.3377,0.3795,0.9249,LOF_k35
28_pendigits,tabular,adbench_dami,35,0.085,0.9911,0.6259,0.3652,0.999,KNN_k3
19_landsat,tabular,adbench_dami,35,0.2498,0.5366,0.2107,0.326,0.7759,LOF_k10
InternetAds,tabular,adbench_dami,36,0.2363,0.4458,0.1326,0.3132,0.7518,LOF_k3
Wilt,tabular,adbench_dami,36,0.2197,0.2226,-0.037,0.2595,0.7139,LOF_k3
PageBlocks,tabular,adbench_dami,35,0.2376,0.6837,0.4576,0.2261,0.9245,LOF_k100
6_cardio,tabular,adbench_dami,35,0.2343,0.7712,0.5586,0.2126,0.9539,IF_n50
39_vertebral,tabular,adbench_dami,35,0.25,0.2058,0.0082,0.1975,0.6593,LOF_k3
36_speech,tabular,adbench_dami,36,0.0776,0.2159,0.0199,0.1961,0.7364,LOF_k3
41_Waveform,tabular,adbench_dami,35,0.1289,0.468,0.2737,0.1943,0.828,LOF
Waveform,tabular,adbench_dami,35,0.1255,0.3734,0.2062,0.1672,0.7845,LOF_k10
23_mammography,tabular,adbench_dami,36,0.1003,0.3315,0.1672,0.1643,0.837,ECOD
Stamps,tabular,adbench_dami,35,0.2439,0.6837,0.5487,0.135,0.946,HBOS_b50
37_Stamps,tabular,adbench_dami,35,0.2439,0.6829,0.556,0.1269,0.946,HBOS_b50
Cardiotocography,tabular,adbench_dami,35,0.2489,0.3909,0.2812,0.1096,0.8103,ECOD
UserEventAnomalies,tabular,oddbench,35,0.1003,0.884,0.0345,0.8495,0.9961,HBOS_b100
NetworkFlowAnomalies,tabular,oddbench,36,0.1314,1.0,0.2607,0.7393,1.0,HBOS_b5
MusicGenreAnomaly,tabular,oddbench,36,0.0806,0.8426,0.1235,0.7191,0.9725,LOF_k3
WaterMeterAnomaly,tabular,oddbench,36,0.2419,0.976,0.2682,0.7078,0.9978,LOF
DiamondClarity,tabular,oddbench,36,0.25,0.806,0.1058,0.7002,0.9202,LOF_k3
MedicalClassificationAnomalies,tabular,oddbench,35,0.2166,0.9626,0.2823,0.6803,0.9887,LOF_k3
WindmillAnomaly,tabular,oddbench,36,0.0582,0.8171,0.1524,0.6647,0.9898,HBOS_b50
BusTracking,tabular,oddbench,35,0.2494,0.8182,0.2243,0.5939,0.9088,KNN_k3
ElectionVoterLists,tabular,oddbench,36,0.2276,1.0,0.4141,0.5859,1.0,HBOS_b100
RacingMotion,tabular,oddbench,35,0.2495,0.9933,0.4537,0.5397,0.9973,LOF_k10
ProtestViolence,tabular,oddbench,36,0.25,0.6814,0.1447,0.5367,0.9244,HBOS_b100
HurricaneTracks,tabular,oddbench,35,0.0353,0.7739,0.2453,0.5287,0.9776,LOF_k3
BusinessProcessFraud,tabular,oddbench,36,0.1359,0.7406,0.2419,0.4987,0.9178,HBOS_b100
GenomicSequencing,tabular,oddbench,36,0.188,0.6413,0.1656,0.4757,0.9393,PCA
VoteOutcome,tabular,oddbench,36,0.0724,0.6932,0.2204,0.4728,0.9554,LOF_k50
NavigationBugReport,tabular,oddbench,36,0.1627,0.7512,0.286,0.4653,0.9637,IF_n50
WaterChemistry,tabular,oddbench,36,0.2496,0.7067,0.244,0.4626,0.9192,LOF_k10
WorkforceDemographics,tabular,oddbench,36,0.2374,0.8411,0.3796,0.4615,0.9814,HBOS_b5
GeospatialInvestigation,tabular,oddbench,36,0.25,0.5401,0.1066,0.4336,0.886,PCA
TreadmillStatus,tabular,oddbench,35,0.2246,0.5545,0.1342,0.4203,0.9034,LOF_k200
CrimeFraudDetection,tabular,oddbench,36,0.25,0.9035,0.5201,0.3835,0.9904,PCA
HeatVulnerability,tabular,oddbench,36,0.2447,0.4638,0.0857,0.3781,0.7957,HBOS_b50
ZookeeperLogs,tabular,oddbench,35,0.1144,0.3971,0.0209,0.3762,0.9001,LOF_k10
FantasyFootball,tabular,oddbench,35,0.25,0.6376,0.2649,0.3727,0.9498,LOF_k3
ProductionRunStatus,tabular,oddbench,36,0.0559,0.5568,0.19,0.3668,0.9807,KNN_k200
CellMorphology,tabular,oddbench,36,0.1943,0.8406,0.4763,0.3643,0.981,KNN_k3
FraudEventLog,tabular,oddbench,35,0.1741,0.5288,0.1757,0.3531,0.8461,ECOD
UserTrackingAnomalies,tabular,oddbench,36,0.25,0.4617,0.125,0.3367,0.8118,KNN_k3
EmailSpamDetection,tabular,oddbench,36,0.25,0.5053,0.1728,0.3325,0.8122,HBOS_b100
VoteResult,tabular,oddbench,35,0.2493,0.9348,0.6056,0.3292,0.9834,HBOS_b100
CybersecurityVulnerability,tabular,oddbench,36,0.25,0.7942,0.4663,0.3279,0.9441,COPOD
MouseInteractionPhase,tabular,oddbench,35,0.2496,1.0,0.6763,0.3237,1.0,KNN_k3
SMSClassification,tabular,oddbench,36,0.25,0.5733,0.2607,0.3127,0.8884,IF_n300
PoliceArrestFraud,tabular,oddbench,36,0.0766,0.3574,0.0734,0.2841,0.7804,HBOS_b5
ArchaeologicalAnomalies,tabular,oddbench,36,0.2478,0.3246,0.0411,0.2835,0.8031,KNN_k3
SatelliteAnomaly,tabular,oddbench,35,0.0305,0.5358,0.2525,0.2832,0.9494,LOF_k10
BuildingInspections,tabular,oddbench,35,0.2496,0.4171,0.1361,0.281,0.7666,ECOD
WindowsEditionAnomaly,tabular,oddbench,36,0.0472,0.436,0.1615,0.2745,0.9663,IF_n50
BaseballBattedBall,tabular,oddbench,35,0.2171,0.3655,0.0928,0.2727,0.8437,PCA_c0.3
BaseballPitchingAnomalies,tabular,oddbench,36,0.0712,0.3559,0.0843,0.2715,0.8061,COPOD
WeatherEvents,tabular,oddbench,36,0.0927,0.3912,0.1276,0.2636,0.9394,PCA_c0.3
PTENPhosphatase,tabular,oddbench,35,0.184,0.5061,0.2473,0.2588,0.9046,LOF_k3
GPUResourceUsage,tabular,oddbench,36,0.2399,0.2624,0.0079,0.2545,0.7481,LOF_k100
CodeStrata,tabular,oddbench,36,0.1085,0.3475,0.0934,0.2541,0.8483,KNN_k3
ExamPerformance,tabular,oddbench,35,0.1244,1.0,0.7509,0.2491,1.0,PCA_c0.3
AquaticMacroInverts,tabular,oddbench,36,0.25,0.4693,0.2207,0.2486,0.8731,IForest
DragonFlySystem,tabular,oddbench,36,0.2465,0.4242,0.1831,0.2411,0.7435,COPOD
EpidemiologyCases,tabular,oddbench,35,0.0428,0.5799,0.3408,0.2391,0.9421,HBOS_b100
CasePriority,tabular,oddbench,36,0.0455,0.2662,0.0384,0.2278,0.8829,LOF_k10
ArtCollections,tabular,oddbench,35,0.0197,0.2694,0.0457,0.2237,0.8096,LOF_k200
BuildingEnergyCompliance,tabular,oddbench,36,0.1868,0.2281,0.0083,0.2198,0.6932,HBOS_b100
TransactionFeeAnomalies,tabular,oddbench,36,0.2062,0.2246,0.0098,0.2148,0.8144,IF_n50
WebTrafficError,tabular,oddbench,35,0.1773,0.2784,0.0655,0.2129,0.823,IF_n300
HumanRobotCollaboration,tabular,oddbench,35,0.2496,0.2375,0.0253,0.2122,0.7266,LODA_b20
CityTreeCondition,tabular,oddbench,35,0.172,0.2809,0.0697,0.2112,0.7528,KNN_k3
LandRarity,tabular,oddbench,36,0.2493,0.1801,-0.016,0.1961,0.7069,HBOS_b50
GPUPowerProfile,tabular,oddbench,36,0.0948,0.2793,0.0888,0.1905,0.8853,LOF_k10
EnvironmentalConcernSurvey,tabular,oddbench,36,0.2495,0.2647,0.0853,0.1793,0.7147,HBOS_b5
BarExamPrediction,tabular,oddbench,34,0.1975,0.4535,0.2744,0.1791,0.8279,COPOD
HumanObjectInteraction,tabular,oddbench,36,0.2494,0.5733,0.3951,0.1782,0.9031,KNN
RemoteSensingAnomalies,tabular,oddbench,35,0.2498,0.8995,0.7231,0.1764,0.9695,LOF_k3
DallasShelterOutcomes,tabular,oddbench,36,0.0434,0.2394,0.074,0.1655,0.8849,KNN_k3
TBAnomalyDetection,tabular,oddbench,34,0.2495,0.3108,0.1564,0.1545,0.7249,COPOD
SalesPerformance,tabular,oddbench,36,0.25,0.3466,0.1987,0.1479,0.8235,HBOS
LandShapeAnomaly,tabular,oddbench,36,0.25,0.2087,0.0799,0.1288,0.6895,IF_n300
AustinCrime,tabular,oddbench,36,0.1469,0.206,0.0785,0.1275,0.7628,KNN_k10
GlobalTerrorismAttack,tabular,oddbench,36,0.2498,0.11,-0.0143,0.1243,0.6262,PCA_c0.3
HospitalReadmissions,tabular,oddbench,35,0.0369,0.2434,0.1239,0.1195,0.8776,LOF_k200
CodeSmell,tabular,oddbench,35,0.2494,0.1422,0.0257,0.1165,0.6092,HBOS_b100
SystemFailureCases,tabular,oddbench,36,0.2493,0.3549,0.2387,0.1162,0.7988,KNN_k10
GroceryErrorDept,tabular,oddbench,36,0.1549,0.4371,0.3325,0.1046,0.8252,HBOS_b100
BugSeverity,tabular,oddbench,35,0.2493,0.1947,0.0905,0.1042,0.621,HBOS_b50
TrialBehavior,tabular,oddbench,36,0.2498,0.1065,0.0044,0.102,0.6542,PCA_c0.9
FishingAnomalies,tabular,oddbench,35,0.1252,0.1656,0.0645,0.101,0.6977,KNN_k35
RealEstateProperties,tabular,oddbench,36,0.0789,0.261,0.1606,0.1004,0.871,LODA_b20
JobMarket,tabular,ovrbench,34,0.2339,0.9052,0.2388,0.6665,0.9711,KNN_k3
ScientificMeasurement,tabular,ovrbench,34,0.2484,0.8601,0.2174,0.6427,0.9095,LOF_k3
CardiacHealth,tabular,ovrbench,36,0.2498,0.9725,0.3422,0.6304,0.9849,LOF_k10
TrafficSensor,tabular,ovrbench,36,0.1796,0.7603,0.1539,0.6065,0.9407,KNN_k3
visualizing_soil,tabular,ovrbench,36,0.2427,0.9028,0.308,0.5948,0.9512,HBOS_b100
AbstractAnomalyBatch,tabular,ovrbench,34,0.1087,0.9229,0.3449,0.578,0.9922,KNN_k10
StockMarketAnomaly,tabular,ovrbench,36,0.25,0.9083,0.3676,0.5406,0.9588,LOF_k3
SpeechAnalysis,tabular,ovrbench,36,0.209,0.566,0.0339,0.532,0.8956,ECOD
EEGEyeState,tabular,ovrbench,36,0.25,0.7213,0.1946,0.5267,0.8926,LOF_k3
GeneticMutationAnalysis,tabular,ovrbench,36,0.1585,0.6832,0.1699,0.5133,0.8858,HBOS_b100
ShuttleOperations,tabular,ovrbench,36,0.25,0.8841,0.3791,0.5051,0.9838,LOF_k3
OrbitalAnomalies,tabular,ovrbench,35,0.2487,0.6543,0.1732,0.4812,0.9055,HBOS_b100
mozilla4,tabular,ovrbench,35,0.2498,0.5799,0.1043,0.4757,0.8189,LOF_k200
SystemActivityMonitoring,tabular,ovrbench,36,0.2495,0.5201,0.0581,0.462,0.849,PCA_c0.3
UserInteraction1,tabular,ovrbench,35,0.1682,0.8188,0.3601,0.4587,0.9621,IF_n50
ShillBidding,tabular,ovrbench,35,0.2498,0.6995,0.2459,0.4536,0.9115,HBOS_b50
SystemPerformance2,tabular,ovrbench,36,0.1876,0.6609,0.2093,0.4516,0.8562,KNN_k3
FootballOutcome,tabular,ovrbench,35,0.2485,0.9981,0.5485,0.4496,0.9995,LOF_k10
Run_or_walk_information,tabular,ovrbench,36,0.2498,0.5296,0.0842,0.4454,0.7851,LOF_k10
DiskHealthPrediction,tabular,ovrbench,35,0.1692,0.9788,0.5425,0.4363,0.9965,LOF
BrainEEGSignals,tabular,ovrbench,36,0.2491,0.5376,0.1211,0.4165,0.7922,LOF_k3
RealEstateData,tabular,ovrbench,34,0.2495,0.4266,0.0134,0.4132,0.8922,HBOS
GesturePhaseSegmentationProcessed,tabular,ovrbench,36,0.2494,0.3765,-0.0319,0.4084,0.715,LOF_k3
BoxTracking,tabular,ovrbench,35,0.0489,0.6439,0.2382,0.4057,0.9821,HBOS_b100
ReviewSentiment,tabular,ovrbench,35,0.2224,0.9465,0.5421,0.4044,0.981,LOF_k3
volcanoes-a4,tabular,ovrbench,34,0.25,0.6186,0.2224,0.3962,0.8839,LODA_b50
CarSales,tabular,ovrbench,35,0.2461,1.0,0.604,0.396,1.0,LOF_k10
MalariaDetection,tabular,ovrbench,36,0.2496,0.5087,0.126,0.3827,0.8663,HBOS_b5
SignalAnomaly,tabular,ovrbench,36,0.0677,0.7052,0.3319,0.3732,0.9451,HBOS_b100
ShapeAnalysis,tabular,ovrbench,36,0.2491,0.8401,0.4737,0.3665,0.9319,LOF_k3
SwampAnomaly,tabular,ovrbench,36,0.2485,0.7733,0.409,0.3643,0.942,LOF_k3
page-blocks,tabular,ovrbench,36,0.2363,0.6885,0.3307,0.3577,0.9271,LOF_k35
FootballPerformance,tabular,ovrbench,35,0.2493,0.993,0.636,0.357,0.9983,LOF_k10
ShuttleMission,tabular,ovrbench,36,0.1739,0.8593,0.5043,0.3551,0.9866,HBOS_b50
ElectronicCommerceAnomalies,tabular,ovrbench,36,0.2482,0.3475,-0.0075,0.355,0.7435,LOF_k3
NeuroSignalEEG,tabular,ovrbench,34,0.2498,0.3972,0.0442,0.353,0.7809,HBOS_b100
thyroid-ann,tabular,ovrbench,35,0.2259,0.5894,0.2392,0.3501,0.9219,HBOS_b100
AmazonReviewAnomalies,tabular,ovrbench,35,0.2496,0.6114,0.2661,0.3452,0.9035,HBOS_b5
FootballBetting,tabular,ovrbench,35,0.2498,0.3465,0.0038,0.3427,0.814,HBOS_b100
UrlAnalysis,tabular,ovrbench,36,0.2493,0.5785,0.2359,0.3426,0.8648,LODA_b20
GamingBehavior,tabular,ovrbench,36,0.2275,0.7034,0.3655,0.3379,0.9434,LOF_k50
SpatialAnomalies,tabular,ovrbench,35,0.2496,0.4257,0.0885,0.3372,0.7624,LOF_k3
SpectralImaging,tabular,ovrbench,35,0.2496,0.7297,0.4009,0.3288,0.9312,HBOS_b5
BLE_RSSI_dataset_for_Indoor_localization,tabular,ovrbench,34,0.2497,0.5266,0.2121,0.3145,0.8396,PCA
KickstarterCampaigns,tabular,ovrbench,34,0.2495,0.3383,0.024,0.3143,0.7958,ECOD
PerformanceBenchmark,tabular,ovrbench,36,0.2484,0.6258,0.3157,0.3101,0.8207,HBOS_b100
XSSDetection,tabular,ovrbench,36,0.2429,0.3939,0.0876,0.3062,0.8306,HBOS_b5
internet_firewall,tabular,ovrbench,36,0.0255,0.3623,0.0567,0.3056,0.978,ECOD
ActivityRecognition,tabular,ovrbench,36,0.2066,0.9018,0.6095,0.2923,0.9937,KNN_k3
MolecularAnomalies1,tabular,ovrbench,36,0.2483,0.4013,0.1221,0.2792,0.8218,HBOS_b100
ECGAnomaly,tabular,ovrbench,36,0.2494,0.9693,0.7033,0.266,0.9966,LOF_k10
MissingInformation1,tabular,ovrbench,35,0.25,0.4806,0.2178,0.2627,0.8205,LODA_b50
MalwareHardwareMetrics,tabular,ovrbench,36,0.25,0.5432,0.284,0.2592,0.7892,KNN_k3
puma8NH,tabular,ovrbench,35,0.2498,0.5657,0.3098,0.2559,0.8419,KNN
Satellite,tabular,ovrbench,35,0.0295,0.5144,0.2609,0.2534,0.9482,LOF_k10
SyntheticNumericalBatch,tabular,ovrbench,36,0.2498,0.2637,0.0124,0.2513,0.7045,LOF_k3
CryptojackingSystem,tabular,ovrbench,36,0.2498,0.313,0.0654,0.2475,0.7368,LOF_k50
ViralProteinFunction,tabular,ovrbench,36,0.25,0.3342,0.0897,0.2445,0.6826,ECOD
BCellImmunity,tabular,ovrbench,36,0.2283,0.281,0.0377,0.2434,0.7398,HBOS_b100
YelpBusiness,tabular,ovrbench,36,0.2498,0.4226,0.1793,0.2434,0.8612,KNN
GeneExpressionCoactivator,tabular,ovrbench,36,0.25,0.8392,0.6035,0.2357,0.952,COPOD
DeveloperChurn,tabular,ovrbench,36,0.2488,0.3395,0.1081,0.2315,0.7637,LOF
volkert,tabular,ovrbench,36,0.1913,0.8424,0.6118,0.2306,0.9462,HBOS_b5
CompanyRating,tabular,ovrbench,36,0.202,0.7982,0.5772,0.221,0.9657,KNN_k200
JobChangePatterns,tabular,ovrbench,36,0.2495,0.2981,0.0887,0.2094,0.726,LODA_b20
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),tabular,ovrbench,35,0.25,0.176,-0.029,0.205,0.641,KNN_k200
SpotifyHitPredictor,tabular,ovrbench,36,0.2497,0.4367,0.2379,0.1988,0.7681,ECOD
AirPressure,tabular,ovrbench,36,0.041,0.5647,0.3681,0.1966,0.9624,LODA_b50
