dataset,modality,split,corpus,dedup_group,n_variants,base_rate,gt_best,gt_second,best_ap_norm,mean_ap_norm,worst_ap_norm,spread_ap_norm,best_auc,zone,gt_ranking,mz_rule_auc,hbos_rule_auc,rule_auc,rule_trivial,include
001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,timeseries,test,ucr,g285,23,0.0793,LOF_k10,LOF_k20,0.4664,0.204,-0.029,0.2624,0.7859,live,LOF_k10|LOF_k20|LOF_k50|LOF_k3|LOF_k100,0.5802790697674418,0.561767441860465,0.5802790697674418,False,True
002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,timeseries,test,ucr,g286,23,0.044,HBOS_b50,HBOS_b20,0.0263,0.0006,-0.0153,0.0257,0.6987,floor,HBOS_b50|HBOS_b20|ECOD|HBOS_b5|LOF_k20,,,,False,False
003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,timeseries,test,ucr,g287,23,0.044,PCA,PCA_c0.9,0.8321,0.445,0.054,0.3872,0.9705,live,PCA|PCA_c0.9|PCA_c0.3|IForest|IF_n50,0.9718260869565216,0.9625217391304348,0.9718260869565216,True,False
006_MSL_id_5_Sensor_tr_1150_1st_1250.csv,timeseries,test,tsbad_m,g157,23,0.2439,PCA_c0.3,PCA,0.2435,0.0196,-0.0862,0.2238,0.602,live,PCA_c0.3|PCA|PCA_c0.9|KNN_k100|KNN_k50,0.6354425144747726,0.4747725392886682,0.6354425144747726,False,True
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544.txt,timeseries,test,ucr,g291,23,0.057,PCA,PCA_c0.9,0.409,0.1888,0.0012,0.2201,0.8785,live,PCA|PCA_c0.9|HBOS_b20|HBOS|IF_n300,0.9107142857142856,0.814625850340136,0.9107142857142856,True,False
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,timeseries,test,ucr,g292,23,0.0648,IF_n50,IForest,0.6851,0.4546,0.1213,0.2305,0.8725,live,IF_n50|IForest|IF_n300|HBOS_b5|HBOS,0.7843137254901961,0.8319327731092436,0.8319327731092436,False,True
013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt,timeseries,test,ucr,g293,23,0.026,KNN_k3,LOF_k100,0.3824,0.1321,0.0414,0.2503,0.8094,live,KNN_k3|LOF_k100|LOF_k50|LOF_k20|KNN_k10,0.4085561497326203,0.7529411764705882,0.7529411764705882,False,True
014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt,timeseries,test,ucr,g294,23,0.026,LOF_k10,KNN_k3,0.5094,0.1845,0.0147,0.3249,0.7522,live,LOF_k10|KNN_k3|LOF_k20|LOF_k50|KNN_k10,0.5427807486631016,0.6770053475935829,0.6770053475935829,False,True
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212.txt,timeseries,test,ucr,g299,23,0.0448,LOF_k10,LOF_k3,0.0592,0.0205,-0.0003,0.0387,0.6056,floor,LOF_k10|LOF_k3|KNN_k3|CBLOF|KNN_k10,,,,False,False
020_MITDB_id_2_Medical_tr_50000_1st_52315.csv,timeseries,test,tsbad_m,g150,23,0.1291,LOF_k3,LOF_k10,0.4409,0.2995,0.2229,0.1414,0.7079,live,LOF_k3|LOF_k10|LOF_k20|LOF_k50|KNN_k3,0.5845,0.6887432432432432,0.6887432432432432,False,True
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt,timeseries,test,ucr,g300,23,0.1054,LOF_k10,LOF_k20,0.1643,0.0158,-0.0382,0.1485,0.6462,live,LOF_k10|LOF_k20|LOF_k3|LOF_k50|KNN_k3,0.3019607843137254,0.3458823529411765,0.3458823529411765,False,True
