dataset,modality,corpus,selector,pool,dedup_group,regret,norm_rank
19_landsat,tabular,adbench_dami,oracle_best,35,g135,0.0,0.0
19_landsat,tabular,adbench_dami,anti_oracle,35,g135,0.5664846773216569,1.0
19_landsat,tabular,adbench_dami,random,35,g135,0.3264622072271385,0.5
19_landsat,tabular,adbench_dami,global_fixed,35,g135,0.025832189547077666,0.029411764705882353
19_landsat,tabular,adbench_dami,iforest_random,35,g135,0.41141325221610364,0.6274509803921569
19_landsat,tabular,adbench_dami,em,35,g135,0.17166885057913772,0.23529411764705882
19_landsat,tabular,adbench_dami,mv,35,g135,0.17166885057913772,0.23529411764705882
19_landsat,tabular,adbench_dami,consensus,35,g135,0.4087003251851827,0.5882352941176471
19_landsat,tabular,adbench_dami,model_centrality,35,g135,0.4087003251851827,0.5882352941176471
19_landsat,tabular,adbench_dami,hits,35,g135,0.4087003251851827,0.5882352941176471
20_letter,tabular,adbench_dami,oracle_best,35,g137,0.0,0.0
20_letter,tabular,adbench_dami,anti_oracle,35,g137,0.7244747068266976,1.0
20_letter,tabular,adbench_dami,random,35,g137,0.48549524950611567,0.5
20_letter,tabular,adbench_dami,global_fixed,35,g137,0.02041914279137136,0.029411764705882353
20_letter,tabular,adbench_dami,iforest_random,35,g137,0.6112047712241432,0.5882352941176471
20_letter,tabular,adbench_dami,em,35,g137,0.5792694405559307,0.4411764705882353
20_letter,tabular,adbench_dami,mv,35,g137,0.5792694405559307,0.4411764705882353
20_letter,tabular,adbench_dami,consensus,35,g137,0.6290452385068216,0.6176470588235294
20_letter,tabular,adbench_dami,model_centrality,35,g137,0.6290452385068216,0.6176470588235294
20_letter,tabular,adbench_dami,hits,35,g137,0.6290452385068216,0.6176470588235294
23_mammography,tabular,adbench_dami,oracle_best,36,g143,0.0,0.0
23_mammography,tabular,adbench_dami,anti_oracle,36,g143,0.2812017197751415,1.0
23_mammography,tabular,adbench_dami,random,36,g143,0.16675437880995614,0.5
23_mammography,tabular,adbench_dami,global_fixed,36,g143,0.15679600207418984,0.4857142857142857
23_mammography,tabular,adbench_dami,iforest_random,36,g143,0.15018562261679533,0.42857142857142855
23_mammography,tabular,adbench_dami,em,36,g143,0.11310539396890826,0.11428571428571428
23_mammography,tabular,adbench_dami,mv,36,g143,0.11310539396890826,0.11428571428571428
23_mammography,tabular,adbench_dami,consensus,36,g143,0.14833570258286885,0.4
23_mammography,tabular,adbench_dami,model_centrality,36,g143,0.14833570258286885,0.4
23_mammography,tabular,adbench_dami,hits,36,g143,0.14833570258286885,0.4
26_optdigits,tabular,adbench_dami,oracle_best,35,g177,0.0,0.0
26_optdigits,tabular,adbench_dami,anti_oracle,35,g177,0.9647501039231595,1.0
26_optdigits,tabular,adbench_dami,random,35,g177,0.49656573838432644,0.5
26_optdigits,tabular,adbench_dami,global_fixed,35,g177,0.001566706703737264,0.029411764705882353
26_optdigits,tabular,adbench_dami,iforest_random,35,g177,0.7207669113359914,0.6764705882352942
26_optdigits,tabular,adbench_dami,em,35,g177,0.5012384402646386,0.4411764705882353
26_optdigits,tabular,adbench_dami,mv,35,g177,0.5012384402646386,0.4411764705882353
26_optdigits,tabular,adbench_dami,consensus,35,g177,0.7313157708952595,0.7058823529411765
26_optdigits,tabular,adbench_dami,model_centrality,35,g177,0.7313157708952595,0.7058823529411765
26_optdigits,tabular,adbench_dami,hits,35,g177,0.7313157708952595,0.7058823529411765
27_PageBlocks,tabular,adbench_dami,oracle_best,36,g180,0.0,0.0
27_PageBlocks,tabular,adbench_dami,anti_oracle,36,g180,0.7820343265682833,1.0
27_PageBlocks,tabular,adbench_dami,random,36,g180,0.39169116333145976,0.5
27_PageBlocks,tabular,adbench_dami,global_fixed,36,g180,0.20300288974208647,0.34285714285714286
27_PageBlocks,tabular,adbench_dami,iforest_random,36,g180,0.23664651495095274,0.45714285714285713
27_PageBlocks,tabular,adbench_dami,em,36,g180,0.23365009040990664,0.45714285714285713
27_PageBlocks,tabular,adbench_dami,mv,36,g180,0.729395173341543,0.7428571428571429
27_PageBlocks,tabular,adbench_dami,consensus,36,g180,0.23365009040990664,0.45714285714285713
27_PageBlocks,tabular,adbench_dami,model_centrality,36,g180,0.23365009040990664,0.45714285714285713
27_PageBlocks,tabular,adbench_dami,hits,36,g180,0.23365009040990664,0.45714285714285713
28_pendigits,tabular,adbench_dami,oracle_best,35,g183,0.0,0.0
28_pendigits,tabular,adbench_dami,anti_oracle,35,g183,0.6597649652703557,1.0
28_pendigits,tabular,adbench_dami,random,35,g183,0.3721105782400892,0.5
28_pendigits,tabular,adbench_dami,global_fixed,35,g183,0.06336327145537324,0.11764705882352941
28_pendigits,tabular,adbench_dami,iforest_random,35,g183,0.3422431390679129,0.36274509803921573
28_pendigits,tabular,adbench_dami,em,35,g183,0.0,0.0
28_pendigits,tabular,adbench_dami,mv,35,g183,0.0,0.0
28_pendigits,tabular,adbench_dami,consensus,35,g183,0.36413724359350685,0.4117647058823529
28_pendigits,tabular,adbench_dami,model_centrality,35,g183,0.36413724359350685,0.4117647058823529
28_pendigits,tabular,adbench_dami,hits,35,g183,0.36413724359350685,0.4117647058823529
36_speech,tabular,adbench_dami,oracle_best,36,g239,0.0,0.0
36_speech,tabular,adbench_dami,anti_oracle,36,g239,0.13728152687041995,1.0
36_speech,tabular,adbench_dami,random,36,g239,0.11831480737793537,0.5
36_speech,tabular,adbench_dami,global_fixed,36,g239,0.0,0.0
36_speech,tabular,adbench_dami,iforest_random,36,g239,0.13248852652657173,0.9619047619047618
36_speech,tabular,adbench_dami,em,36,g239,0.1268376065055196,0.8285714285714286
36_speech,tabular,adbench_dami,mv,36,g239,0.1268376065055196,0.8285714285714286
36_speech,tabular,adbench_dami,consensus,36,g239,0.12347623390340762,0.5142857142857142
36_speech,tabular,adbench_dami,model_centrality,36,g239,0.12347623390340762,0.5142857142857142
36_speech,tabular,adbench_dami,hits,36,g239,0.12347623390340762,0.5142857142857142
37_Stamps,tabular,adbench_dami,oracle_best,35,g242,0.0,0.0
37_Stamps,tabular,adbench_dami,anti_oracle,35,g242,0.5797604988985637,1.0
37_Stamps,tabular,adbench_dami,random,35,g242,0.16486206785850932,0.5
37_Stamps,tabular,adbench_dami,global_fixed,35,g242,0.12361538777489733,0.29411764705882354
37_Stamps,tabular,adbench_dami,iforest_random,35,g242,0.11770676716303163,0.23529411764705882
37_Stamps,tabular,adbench_dami,em,35,g242,0.10477575761551994,0.14705882352941177
37_Stamps,tabular,adbench_dami,mv,35,g242,0.10477575761551994,0.14705882352941177
37_Stamps,tabular,adbench_dami,consensus,35,g242,0.11879118805650435,0.23529411764705882
37_Stamps,tabular,adbench_dami,model_centrality,35,g242,0.11879118805650435,0.23529411764705882
37_Stamps,tabular,adbench_dami,hits,35,g242,0.11879118805650435,0.23529411764705882
38_thyroid,tabular,adbench_dami,oracle_best,36,g265,0.0,0.0
38_thyroid,tabular,adbench_dami,anti_oracle,36,g265,0.6106258491322898,1.0
38_thyroid,tabular,adbench_dami,random,36,g265,0.4036174881158547,0.5
38_thyroid,tabular,adbench_dami,global_fixed,36,g265,0.5569805622781251,0.8285714285714286
38_thyroid,tabular,adbench_dami,iforest_random,36,g265,0.2113849264570078,0.17142857142857143
38_thyroid,tabular,adbench_dami,em,36,g265,0.4801226587834664,0.5714285714285714
38_thyroid,tabular,adbench_dami,mv,36,g265,0.0,0.0
38_thyroid,tabular,adbench_dami,consensus,36,g265,0.5369478190653209,0.7428571428571429
38_thyroid,tabular,adbench_dami,model_centrality,36,g265,0.5369478190653209,0.7428571428571429
38_thyroid,tabular,adbench_dami,hits,36,g265,0.5369478190653209,0.7428571428571429
39_vertebral,tabular,adbench_dami,oracle_best,35,g386,0.0,0.0
39_vertebral,tabular,adbench_dami,anti_oracle,35,g386,0.2846644825473828,1.0
39_vertebral,tabular,adbench_dami,random,35,g386,0.18150450826656497,0.5
39_vertebral,tabular,adbench_dami,global_fixed,35,g386,0.0,0.0
39_vertebral,tabular,adbench_dami,iforest_random,35,g386,0.20678153579875064,0.6470588235294118
39_vertebral,tabular,adbench_dami,em,35,g386,0.0,0.0
39_vertebral,tabular,adbench_dami,mv,35,g386,0.0,0.0
39_vertebral,tabular,adbench_dami,consensus,35,g386,0.19810693579833336,0.5294117647058824
39_vertebral,tabular,adbench_dami,model_centrality,35,g386,0.19810693579833336,0.5294117647058824
39_vertebral,tabular,adbench_dami,hits,35,g386,0.19810693579833336,0.5294117647058824
40_vowels,tabular,adbench_dami,oracle_best,35,g393,0.0,0.0
40_vowels,tabular,adbench_dami,anti_oracle,35,g393,0.7614792580632095,1.0
40_vowels,tabular,adbench_dami,random,35,g393,0.5141664557524357,0.5
40_vowels,tabular,adbench_dami,global_fixed,35,g393,0.0,0.0
40_vowels,tabular,adbench_dami,iforest_random,35,g393,0.6336330324861573,0.47058823529411764
40_vowels,tabular,adbench_dami,em,35,g393,0.03301863738619226,0.029411764705882353
40_vowels,tabular,adbench_dami,mv,35,g393,0.03301863738619226,0.029411764705882353
40_vowels,tabular,adbench_dami,consensus,35,g393,0.6340687118750471,0.47058823529411764
40_vowels,tabular,adbench_dami,model_centrality,35,g393,0.6340687118750471,0.47058823529411764
40_vowels,tabular,adbench_dami,hits,35,g393,0.6340687118750471,0.47058823529411764
41_Waveform,tabular,adbench_dami,oracle_best,35,g398,0.0,0.0
41_Waveform,tabular,adbench_dami,anti_oracle,35,g398,0.40858833598277755,1.0
41_Waveform,tabular,adbench_dami,random,35,g398,0.19497670555349705,0.5
41_Waveform,tabular,adbench_dami,global_fixed,35,g398,0.06017322095390942,0.47058823529411764
41_Waveform,tabular,adbench_dami,iforest_random,35,g398,0.33635557107947534,0.5490196078431373
41_Waveform,tabular,adbench_dami,em,35,g398,0.015058973375524809,0.23529411764705882
41_Waveform,tabular,adbench_dami,mv,35,g398,0.01630098944148045,0.2647058823529412
41_Waveform,tabular,adbench_dami,consensus,35,g398,0.003394671230293911,0.058823529411764705
41_Waveform,tabular,adbench_dami,model_centrality,35,g398,0.003394671230293911,0.058823529411764705
41_Waveform,tabular,adbench_dami,hits,35,g398,0.003394671230293911,0.058823529411764705
44_Wilt,tabular,adbench_dami,oracle_best,36,g404,0.0,0.0
44_Wilt,tabular,adbench_dami,anti_oracle,36,g404,0.7296754075463132,1.0
44_Wilt,tabular,adbench_dami,random,36,g404,0.574229838544653,0.5
44_Wilt,tabular,adbench_dami,global_fixed,36,g404,0.0,0.0
44_Wilt,tabular,adbench_dami,iforest_random,36,g404,0.678708815840017,0.6190476190476191
44_Wilt,tabular,adbench_dami,em,36,g404,0.3953132982453137,0.14285714285714285
44_Wilt,tabular,adbench_dami,mv,36,g404,0.3953132982453137,0.14285714285714285
44_Wilt,tabular,adbench_dami,consensus,36,g404,0.6755697545863758,0.5714285714285714
44_Wilt,tabular,adbench_dami,model_centrality,36,g404,0.6755697545863758,0.5714285714285714
44_Wilt,tabular,adbench_dami,hits,36,g404,0.6755697545863758,0.5714285714285714
6_cardio,tabular,adbench_dami,oracle_best,35,g32,0.0,0.0
6_cardio,tabular,adbench_dami,anti_oracle,35,g32,0.46162445127735263,1.0
6_cardio,tabular,adbench_dami,random,35,g32,0.22926541526413724,0.5
6_cardio,tabular,adbench_dami,global_fixed,35,g32,0.07625108745773135,0.08823529411764706
6_cardio,tabular,adbench_dami,iforest_random,35,g32,0.025349240470623702,0.029411764705882353
6_cardio,tabular,adbench_dami,em,35,g32,0.46162445127735263,1.0
6_cardio,tabular,adbench_dami,mv,35,g32,0.46162445127735263,1.0
6_cardio,tabular,adbench_dami,consensus,35,g32,0.05472540299928197,0.058823529411764705
6_cardio,tabular,adbench_dami,model_centrality,35,g32,0.05472540299928197,0.058823529411764705
6_cardio,tabular,adbench_dami,hits,35,g32,0.05472540299928197,0.058823529411764705
Annthyroid,tabular,adbench_dami,oracle_best,36,g5,0.0,0.0
Annthyroid,tabular,adbench_dami,anti_oracle,36,g5,0.5387181946543883,1.0
Annthyroid,tabular,adbench_dami,random,36,g5,0.41787602452487227,0.5
Annthyroid,tabular,adbench_dami,global_fixed,36,g5,0.3402596435696942,0.17142857142857143
Annthyroid,tabular,adbench_dami,iforest_random,36,g5,0.3634210515650448,0.1904761904761905
Annthyroid,tabular,adbench_dami,em,36,g5,0.28007655217941607,0.08571428571428572
Annthyroid,tabular,adbench_dami,mv,36,g5,0.28007655217941607,0.08571428571428572
Annthyroid,tabular,adbench_dami,consensus,36,g5,0.4923706846944326,0.6857142857142857
Annthyroid,tabular,adbench_dami,model_centrality,36,g5,0.4923706846944326,0.6857142857142857
Annthyroid,tabular,adbench_dami,hits,36,g5,0.5123815516619386,0.7714285714285715
Cardiotocography,tabular,adbench_dami,oracle_best,35,g33,0.0,0.0
Cardiotocography,tabular,adbench_dami,anti_oracle,35,g33,0.2786278423449236,1.0
Cardiotocography,tabular,adbench_dami,random,35,g33,0.11054728145804776,0.5
Cardiotocography,tabular,adbench_dami,global_fixed,35,g33,0.08044781063345097,0.2647058823529412
Cardiotocography,tabular,adbench_dami,iforest_random,35,g33,0.11106918825419038,0.5686274509803921
Cardiotocography,tabular,adbench_dami,em,35,g33,0.25213864728563107,0.9705882352941176
Cardiotocography,tabular,adbench_dami,mv,35,g33,0.25213864728563107,0.9705882352941176
Cardiotocography,tabular,adbench_dami,consensus,35,g33,0.08530177304196046,0.3235294117647059
Cardiotocography,tabular,adbench_dami,model_centrality,35,g33,0.08530177304196046,0.3235294117647059
Cardiotocography,tabular,adbench_dami,hits,35,g33,0.08530177304196046,0.3235294117647059
InternetAds,tabular,adbench_dami,oracle_best,36,g124,0.0,0.0
InternetAds,tabular,adbench_dami,anti_oracle,36,g124,0.43304470365780134,1.0
InternetAds,tabular,adbench_dami,random,36,g124,0.2720474243444254,0.5
InternetAds,tabular,adbench_dami,global_fixed,36,g124,0.0,0.0
InternetAds,tabular,adbench_dami,iforest_random,36,g124,0.4248002446481837,0.9714285714285714
InternetAds,tabular,adbench_dami,em,36,g124,0.2607911647961373,0.42857142857142855
InternetAds,tabular,adbench_dami,mv,36,g124,0.2607911647961373,0.42857142857142855
InternetAds,tabular,adbench_dami,consensus,36,g124,0.31035483038684775,0.7142857142857143
InternetAds,tabular,adbench_dami,model_centrality,36,g124,0.31035483038684775,0.7142857142857143
