dataset,corpus,mz_rule_auc,hbos_rule_auc
19_landsat,adbench_dami,0.3855118318513846,0.7321004673055662
20_letter,adbench_dami,0.5769473684210525,0.6344912280701756
23_mammography,adbench_dami,0.8776409842111734,0.8352096102846907
25_musk,adbench_dami,0.9686446037099494,1.0
26_optdigits,adbench_dami,0.5017488494411572,0.8785141354372124
27_PageBlocks,adbench_dami,0.8996690230440314,0.7401464206340855
28_pendigits,adbench_dami,0.909728908969706,0.933175320346641
36_speech,adbench_dami,0.47079706048615033,0.47149802148106273
37_Stamps,adbench_dami,0.9265850945494994,0.9477196885428253
38_thyroid,adbench_dami,0.9328719429347827,0.9788552989130435
39_vertebral,adbench_dami,0.3373015873015873,0.3666666666666667
40_vowels,adbench_dami,0.6623660781650822,0.6778331069865702
41_Waveform,adbench_dami,0.6443659313614472,0.7042472558167625
44_Wilt,adbench_dami,0.35372760941182485,0.48244126133113985
6_cardio,adbench_dami,0.9186049922271433,0.8350981139823425
AbstractAnomalyBatch,ovrbench,0.5880616336711818,0.5825202866976098
ActivityRecognition,ovrbench,0.9379877787307032,0.9854095197255575
AirPressure,ovrbench,0.9460504178311712,0.962068438103978
AmazonReviewAnomalies,ovrbench,0.8621524329692154,0.8291536624580317
Annthyroid,adbench_dami,0.6037512367424732,0.7516691616942373
AquaticMacroInverts,oddbench,0.8905600466322038,0.8422992948924442
ArchaeologicalAnomalies,oddbench,0.3622565140399697,0.39543806391769964
ArtCollections,oddbench,0.6401261781696563,0.5355351170568562
ArtSalesPlatform,oddbench,0.637249692178083,0.7041798976087097
AttackIncidents,oddbench,0.49881374722838134,0.46210542229389234
AustinCrime,oddbench,0.6639374298605225,0.6939199093053615
AxieInfinityBug,oddbench,0.5063882486635296,0.5724014853228336
BCellImmunity,ovrbench,0.5057331947156223,0.5855072647513756
BNG(cmc),ovrbench,0.3917967418212004,0.5054130040566648
BankruptcyForecast,ovrbench,0.6092571386354402,0.5957556056296405
BarExamPrediction,oddbench,0.7656989881414616,0.8008921637891271
BaseballBattedBall,oddbench,0.7618537494177923,0.576183822387828
BaseballPitchingAnomalies,oddbench,0.8114395183360701,0.8390804597701149
BatchProcessingEvents,ovrbench,0.6142396972351861,0.5806614661432447
BoundingBoxClassification,ovrbench,0.9227999468532706,0.8943944963609254
BoxTracking,ovrbench,0.9565716911764706,0.9748008578431373
BrainEEGSignals,ovrbench,0.5795270518954729,0.5836584468163416
BreastCancer,ovrbench,0.6279033004894223,0.6576818903753565
BugSeverity,oddbench,0.5888187992680181,0.6098192919481982
BuildingEnergyCompliance,oddbench,0.5068988422850635,0.46179540709812106
BuildingInspections,oddbench,0.4558496295714548,0.4458929989441259
BusStopPrior,oddbench,0.601167449571705,0.600079441834761
BusTracking,oddbench,0.44633276759576723,0.5809479331594355
BusinessAnomalies,ovrbench,0.7080013011690969,0.7538052974646756
BusinessProcessFraud,oddbench,0.7077141236528645,0.6381310266591038
CarMakeAnomaly,oddbench,0.6081336977687264,0.5678046340461261
CarSales,ovrbench,0.9599276609573789,0.44350543445553137
CardiacHealth,ovrbench,0.7001661763623326,0.7414383048102536
Cardiotocography,adbench_dami,0.7178206724782068,0.6495226234952262
CareerDayAnomaly,ovrbench,0.5814827270302552,0.6402479329259101
CasePriority,oddbench,0.6832114101132936,0.8707336769351353
CelestialObjects2,ovrbench,0.7804137336799368,0.8217586237111896
CellMorphology,oddbench,0.8678938933873145,0.8793859649122807
CityTreeCondition,oddbench,0.5952380952380952,0.7682500148253573
CodeSmell,oddbench,0.5410844212616511,0.6747366003289718
CodeStrata,oddbench,0.6041496598639455,0.6700680272108843
CombatStats,ovrbench,0.49420062695924766,0.5219435736677116
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),ovrbench,0.331638418079096,0.3501059322033898
CourseRegistration,oddbench,0.2535411865240697,0.3432279393358711
CreditCustomerData,ovrbench,0.5536335167521672,0.5199400072953612
CreditRisk,ovrbench,0.8599765318096015,0.8634763532472833
CreditScoringAnomalies,ovrbench,0.48453101047079117,0.4622915063142431
CrimeFraudDetection,oddbench,0.9738297999641012,0.9970423405995094
CropWeedDetection,ovrbench,0.34841547174358356,0.44803590794071574
CryptoTradingSignals,ovrbench,0.5153821956590123,0.44410191884240324
