dataset,modality,variant,edge_auc,embedded_auc,true_ap_norm
TrialBehavior,tabular,IForest,0.9655098860623722,0.7984735476310063,0.011694657485748617
TrialBehavior,tabular,LOF,0.9610398747967809,0.6970372230593225,-0.009274158659995717
TrialBehavior,tabular,KNN,0.9613137231093031,0.6858535632568782,-0.003363750453331465
TrialBehavior,tabular,ECOD,0.9617408711607606,0.775751157988727,0.010981002210921036
TrialBehavior,tabular,COPOD,0.9166087197026425,0.6760367487024945,-0.027323862386776032
TrialBehavior,tabular,HBOS,0.9528799607390768,0.8234095094592332,0.0001968815692236127
TrialBehavior,tabular,PCA,0.8970148543905448,0.7465344048216978,-0.022230088764301728
TrialBehavior,tabular,CBLOF,0.9333089470382289,0.6037468608739327,-0.0015442210999563656
TrialBehavior,tabular,LODA,0.944476352376905,0.7508149868854289,-0.013192725094678668
TrialBehavior,tabular,LOF_k3,0.870030120278739,0.5496531614487414,-0.026110880267205667
TrialBehavior,tabular,KNN_k3,0.9593627183129945,0.675131006194542,-0.010199363060123492
TrialBehavior,tabular,LOF_k10,0.9532702932426689,0.6457041408560745,-0.007763229455345195
TrialBehavior,tabular,KNN_k10,0.9624654105869576,0.6932440426363077,0.003366669739466517
TrialBehavior,tabular,LOF_k35,0.959207900754862,0.6879001339360455,-0.018634889379433875
TrialBehavior,tabular,KNN_k35,0.9560412576987162,0.6843325520397343,0.008843329662720034
TrialBehavior,tabular,LOF_k50,0.9578414249961209,0.6868357609241588,-0.02429684780323611
TrialBehavior,tabular,KNN_k50,0.9554484312495362,0.6763182934315531,0.01130564080213708
TrialBehavior,tabular,LOF_k100,0.9596666194456249,0.6974013616831296,-0.017935145416476225
TrialBehavior,tabular,KNN_k100,0.9566182988282437,0.674423098387187,0.015945586450899243
TrialBehavior,tabular,LOF_k200,0.961878318121412,0.6796957140465427,-0.0018421379976539826
TrialBehavior,tabular,KNN_k200,0.9548251472284621,0.6646593001841621,0.022138934012954744
TrialBehavior,tabular,HBOS_b5,0.9200986582478295,0.8030399296835761,-0.0044995821130173475
TrialBehavior,tabular,HBOS_b20,0.9542080019428086,0.8321559517830236,-0.0039149208672587385
TrialBehavior,tabular,HBOS_b50,0.959432470537443,0.8192893018583627,-0.00434778965077784
TrialBehavior,tabular,HBOS_b100,0.9429876078494862,0.8115508677939618,-0.0015653207734512185
TrialBehavior,tabular,PCA_c0.3,0.8970148543905448,0.7465344048216978,-0.022230088764301728
TrialBehavior,tabular,PCA_c0.7,0.9634707128353537,0.7202034153691612,0.1052307877951801
TrialBehavior,tabular,PCA_c0.9,0.9634707128353537,0.7202034153691612,0.1052307877951801
TrialBehavior,tabular,PCA_c0.99,0.9627614865183926,0.7159874993024165,0.045034119757590196
TrialBehavior,tabular,CBLOF_c4,,,
TrialBehavior,tabular,CBLOF_c16,0.9397069597069597,0.613319381661923,0.002285615811636632
TrialBehavior,tabular,CBLOF_c32,0.9359592954620579,0.616628857637145,-0.0035608265905176795
TrialBehavior,tabular,IF_n50,0.9584064922186469,0.7920630336514314,-0.00034902229453671624
TrialBehavior,tabular,IF_n300,0.9660781575698703,0.8092686533846756,0.017596227726989527
TrialBehavior,tabular,LODA_b20,0.9613004000296819,0.7769209358781182,0.001719331565078327
TrialBehavior,tabular,LODA_b50,0.9675763463056279,0.7611829622188739,3.5214464362890146e-05
GlobalTerrorismAttack,tabular,IForest,0.9500555675826703,0.7340878960125607,-0.03114394810334464
GlobalTerrorismAttack,tabular,LOF,0.9319214888457764,0.7937785777078863,-0.04237859618079659
GlobalTerrorismAttack,tabular,KNN,0.9703674561079701,0.8208453074655345,-0.062181145237745254
GlobalTerrorismAttack,tabular,ECOD,0.8856474889697481,0.7058551918020443,-0.00786389289863571
GlobalTerrorismAttack,tabular,COPOD,0.9205981916770517,0.7267982083848957,-0.05503591421552679
GlobalTerrorismAttack,tabular,HBOS,0.9430695486408898,0.6168468805207711,0.08418090522387034
GlobalTerrorismAttack,tabular,PCA,0.9565597271140199,0.6350690339931827,0.04709669426581028
GlobalTerrorismAttack,tabular,CBLOF,0.9611160491668448,0.727406221038832,-0.00988578033262068
GlobalTerrorismAttack,tabular,LODA,0.9583666507538687,0.6204489747343205,-0.01905827190460802
GlobalTerrorismAttack,tabular,LOF_k3,0.8747981410706538,0.7970031560382437,-0.01807139957797235
GlobalTerrorismAttack,tabular,KNN_k3,0.9732304413673534,0.8294858451089102,-0.06339566098575647
GlobalTerrorismAttack,tabular,LOF_k10,0.9007949228923176,0.823158218630355,-0.03413412176994023
GlobalTerrorismAttack,tabular,KNN_k10,0.9677674194252704,0.8109678719972837,-0.05936460509035354
GlobalTerrorismAttack,tabular,LOF_k35,0.9527569731823099,0.7735854577521244,-0.04692941997754787
GlobalTerrorismAttack,tabular,KNN_k35,0.9658857831178168,0.7828286557401624,-0.050132824743180926
GlobalTerrorismAttack,tabular,LOF_k50,0.9639826772542283,0.764290681893881,-0.048902647815830404
