modality,seed,dataset,regret,top1_agree,rank_margin,inter_regime_rho,rand_regret,best_is_local
tabular,0,14_glass,0.0,1.0,0.18311091575230432,0.6699999999999999,0.1213489912676905,True
tabular,0,18_Ionosphere,0.0,0.0,0.08513630308531672,0.45222222222222225,0.08679208308837938,True
tabular,0,19_landsat,0.001127118214421352,0.8333333333333334,0.08537837140192228,0.9177777777777778,0.1970777545839285,True
tabular,0,20_letter,0.0,1.0,0.1250000000000001,0.9077777777777778,0.2347125,True
tabular,0,22_magic.gamma,0.009781629470736242,1.0,0.1250000000000001,0.9255555555555556,0.10159586337636595,True
tabular,0,23_mammography,0.04940151381798985,1.0,0.14701188582615665,0.85,0.030307066439789643,False
tabular,0,25_musk,0.0,0.8333333333333334,0.11577982620455929,0.7966666666666669,0.015209904015731524,True
tabular,0,26_optdigits,0.0017422748191977533,0.6666666666666666,0.13489521432155524,0.8761904761904765,0.1414612097304404,True
tabular,0,27_PageBlocks,0.007216970718686544,0.8333333333333334,0.29939128783037106,0.31777777777777777,0.09152735130217216,False
tabular,0,28_pendigits,0.005207438379441376,0.8333333333333334,0.10849317281151571,0.9833333333333333,0.043287660190117316,True
tabular,0,29_Pima,0.05287313432835827,0.3333333333333333,0.02687315097201126,0.3266666666666667,0.051123548922056505,False
tabular,0,30_satellite,0.034747834434720404,0.8333333333333334,0.06470373224392212,0.9333333333333332,0.12130911273838574,True
tabular,0,31_satimage-2,0.002799710205435013,0.8333333333333334,0.11360959702939755,0.8622222222222222,0.015012286252631513,True
tabular,0,32_shuttle,0.0,1.0,0.125,0.6466666666666666,0.032803454919820285,True
tabular,0,35_SpamBase,0.04404266138088009,0.5,0.09186178280304502,0.4800000000000001,0.11409894841414625,False
tabular,0,36_speech,0.0023289994347088783,0.8333333333333334,0.24666986703733262,0.52,0.025754663651780696,False
tabular,0,37_Stamps,0.03381893860561913,1.0,0.14655281191992775,0.9322222222222222,0.018383628165105637,False
tabular,0,38_thyroid,0.015559256661991538,1.0,0.125,0.8488888888888887,0.030052010285179898,False
tabular,0,39_vertebral,0.10396825396825388,1.0,0.210463430853583,0.7877777777777778,0.11790123456790119,True
tabular,0,40_vowels,0.01631205673758862,0.5,0.07962536894475536,0.8833333333333333,0.23739164696611503,True
tabular,0,41_Waveform,0.0,0.5,0.23638704037611258,0.4055555555555555,0.07790732436472336,True
tabular,0,42_WBC,0.0,0.6666666666666666,0.10947613641853116,0.6188888888888887,0.004909560723514228,True
tabular,0,43_WDBC,0.04861111111111116,0.3333333333333333,0.04592143963356854,0.2755555555555556,0.015432098765432056,True
tabular,0,44_Wilt,0.0,0.3333333333333333,0.005705291220143627,0.6144444444444445,0.36771682887664314,True
tabular,0,47_yeast,0.033782151914020064,0.8333333333333334,0.14460112336101427,0.6944444444444443,0.06056199600155643,True
tabular,0,6_cardio,0.009990387256248234,0.8333333333333334,0.09394600708814149,0.8044444444444444,0.03848530623455082,False
tabular,1,14_glass,0.0,0.0,0.15812114969533575,0.5788888888888889,0.12134899126769039,True
tabular,1,18_Ionosphere,0.010582010582010692,0.3333333333333333,0.08266348581539151,0.5522222222222222,0.0713109935332158,True
tabular,1,19_landsat,0.0,1.0,0.19925929695872857,0.8766666666666666,0.20936641277524726,True
tabular,1,20_letter,0.0,0.8333333333333334,0.09634825416021364,0.8933333333333333,0.23725925925925917,True
tabular,1,22_magic.gamma,0.011738076582176404,0.8333333333333334,0.11324648003491355,0.9166666666666666,0.1065155985375914,True
tabular,1,23_mammography,0.04634747403626138,1.0,0.2187493539168549,0.8222222222222223,0.032176944591132184,False
tabular,1,25_musk,0.0,1.0,0.125,0.8555555555555555,0.021165216954580846,True
tabular,1,26_optdigits,0.00239973701512175,0.6666666666666666,0.10920502065733485,0.7825396825396828,0.1834582511505588,True
tabular,1,27_PageBlocks,0.010699018604370947,0.6666666666666666,0.19493433009725636,0.4777777777777777,0.08901454588431523,False
tabular,1,28_pendigits,0.007441243293812128,0.6666666666666666,0.09438984654973526,0.9377777777777777,0.04178466799464553,True
