modality,scheme,r1_mean,r1_std,r3_mean,r3_std
cv,ens_smallest_rand,0.012571978695153585,0.0029020063681225957,0.0010454752851711013,0.0020909505703422026
cv,uniform_bank,0.0176326672299676,0.004995961017137781,0.0,0.0
cv,discriminative,0.00527461071881223,0.00042553079797707545,0.0,0.0
cv,stability,0.018605516828615682,0.0039050352793658246,0.0,0.0
cv,disc_x_stab,0.00527461071881223,0.00042553079797707545,0.0,0.0
cv,margin,0.0062999719355422675,0.0019872821072578375,0.0,0.0
cv,softmax_var_T0.001,0.00527461071881223,0.00042553079797707545,0.00014875661375661318,0.00029751322751322637
cv,softmax_var_T0.0003,0.005862937715009948,0.001146607387387956,0.0003421026213611755,0.0004248786184577903
cv,agreement,0.007850423783370546,0.0029758215033747174,0.0,0.0
cv,disc_agree,0.00527461071881223,0.00042553079797707545,0.0,0.0
cv,best_regime_var,0.005862937715009948,0.001146607387387956,0.0003421026213611755,0.0004248786184577903
cv,best_regime_agr,0.006508945319572687,0.0015252376747340746,0.0,0.0
cv,zscore_disc,0.00527461071881223,0.00042553079797707545,0.0,0.0
cv,zscore_uniform,0.0076605160239000426,0.003212763273981343,0.0,0.0
cv,top1_vote,0.00527461071881223,0.00042553079797707545,0.0006844529945480505,0.0005686555915517012
cv,ORACLE_best_regime,0.0013219087854829258,0.0008824834145062882,0.0013219087854829258,0.0008824834145062882
dami,ens_smallest_rand,0.04283284548811746,0.0064783090708242655,0.020864449167536936,0.0025698966770244863
dami,uniform_bank,0.0406192707209421,0.004724106644244543,0.01878387915003028,0.0025527243407686955
dami,discriminative,0.039665725571318054,0.004363809218358981,0.020216114204378112,0.004338811723420165
dami,stability,0.040519141521975686,0.004389113325425615,0.020262625832285087,0.004415895393617654
dami,disc_x_stab,0.04043006890068553,0.004599406772018554,0.022856739204378106,0.006025782437341856
dami,margin,0.03789219339903732,0.00342379926878001,0.015450916190679936,0.0034606963784786665
dami,softmax_var_T0.001,0.04156530608112941,0.009427287472934483,0.022501204110929384,0.0064977174577464224
dami,softmax_var_T0.0003,0.040316798618442846,0.01154646729299757,0.02292153295995778,0.006026750115765347
dami,agreement,0.040078239910665225,0.005730442553029206,0.01724744912285637,0.002542398822892826
dami,disc_agree,0.0387294027013629,0.004931195825320824,0.020216114204378112,0.004338811723420165
dami,best_regime_var,0.040316798618442846,0.01154646729299757,0.02292153295995778,0.006026750115765347
dami,best_regime_agr,0.035007141421029224,0.00788713939545868,0.01660856023396748,0.0028516292196209838
dami,zscore_disc,0.038828516268992475,0.002831313563151406,0.01878387915003028,0.0025527243407686955
dami,zscore_uniform,0.033930762186954413,0.0043236830897169605,0.01724744912285637,0.002542398822892826
dami,top1_vote,0.038123817435311326,0.004163526025075699,0.01870415399868102,0.00253683368694535
dami,ORACLE_best_regime,0.024070181310048185,0.002304290961266097,0.024070181310048185,0.002304290961266097
nlp,ens_smallest_rand,0.022381306988267062,0.01024730106776136,0.0032015947235355356,0.004628834538311259
nlp,uniform_bank,0.03323311756414883,0.014236872003985726,0.0005444427574928834,0.0008541842421604803
nlp,discriminative,0.005986510185133288,0.0021024723706729695,0.00036473642394039613,0.0005117689855882794
nlp,stability,0.031549504428746225,0.013896610797003406,0.0005444427574928834,0.0008541842421604803
nlp,disc_x_stab,0.005986510185133288,0.0021024723706729695,0.00036473642394039613,0.0005117689855882794
nlp,margin,0.007316132943327476,0.0023503207508837843,0.0005444427574928834,0.0008541842421604803
nlp,softmax_var_T0.001,0.005986510185133288,0.0021024723706729695,0.00036473642394039613,0.0005117689855882794
nlp,softmax_var_T0.0003,0.005986510185133288,0.0021024723706729695,0.00036473642394039613,0.0005117689855882794
nlp,agreement,0.017975599550476146,0.010156407442392146,0.0005444427574928834,0.0008541842421604803
nlp,disc_agree,0.005986510185133288,0.0021024723706729695,0.00036473642394039613,0.0005117689855882794
nlp,best_regime_var,0.005986510185133288,0.0021024723706729695,0.00036473642394039613,0.0005117689855882794
nlp,best_regime_agr,0.012357408970558387,0.006908518113321271,0.00036473642394039613,0.0005117689855882794
nlp,zscore_disc,0.005986510185133288,0.0021024723706729695,0.00036473642394039613,0.0005117689855882794
nlp,zscore_uniform,0.010117665547924988,0.002934707347342921,0.00036473642394039613,0.0005117689855882794
nlp,top1_vote,0.009165408970558389,0.005673130524579398,0.001922047409563287,0.001441368874159665
nlp,ORACLE_best_regime,0.0046083108933469485,0.0027009195008071665,0.0046083108933469485,0.0027009195008071665
tabular,ens_smallest_rand,0.021831903335115026,0.0019963634984785767,0.007722607467712322,0.00246872214878646
tabular,uniform_bank,0.02350037256224235,0.004583287020887444,0.007504409102898924,0.002490019753221564
tabular,discriminative,0.020078422444281298,0.001225582871276435,0.007617373010398981,0.0023809347383339455
tabular,stability,0.02288445297835813,0.003549519566805462,0.007067661746915891,0.0025626625158122708
tabular,disc_x_stab,0.020434688269152648,0.0015530942855327301,0.007430782002133271,0.002485177486878641
tabular,margin,0.021950278708530335,0.005480088477229568,0.007593052852195481,0.002409193251214745
tabular,softmax_var_T0.001,0.024983568493372018,0.0035662567674131273,0.006153610273728118,0.0017591839207856516
tabular,softmax_var_T0.0003,0.023423525302731812,0.0041468046187251115,0.006800512949600294,0.0017035447641469176
tabular,agreement,0.022229544122937577,0.0012259518358953335,0.007408736022173526,0.0027815926807759667
tabular,disc_agree,0.02345776495781988,0.0021630635220515953,0.008064441014902887,0.0024900444405506926
tabular,best_regime_var,0.023970008759467816,0.004651363031463288,0.006799779294660094,0.0018557178531225385
tabular,best_regime_agr,0.024811401887419954,0.00269845480282696,0.008253279367537697,0.0025671595920473238
tabular,zscore_disc,0.021458783358011196,0.002497385081720685,0.007622590248040406,0.0023817328122428135
tabular,zscore_uniform,0.023812871023423433,0.005380335297013271,0.007240456795798674,0.0023836794696223975
tabular,top1_vote,0.02493827937899145,0.0045319597112641954,0.0065888614513786815,0.0028449115927514654
tabular,ORACLE_best_regime,0.011951326275460916,0.0018845670637217067,0.011951326275460916,0.0018845670637217067
ts,ens_smallest_rand,0.0027038953072818384,0.0013017540522895711,0.0010038708872683343,0.0007179022565473647
ts,uniform_bank,0.0019110834754023152,0.00039484436679826693,0.0010686074299158933,0.0005614238792533065
ts,discriminative,0.0019475342098583524,0.00042057487747039935,0.0010686074299158933,0.0005614238792533065
ts,stability,0.0019110834754023152,0.00039484436679826693,0.0010686074299158933,0.0005614238792533065
ts,disc_x_stab,0.002022300564998538,0.0005262027536020249,0.0010686074299158933,0.0005614238792533065
ts,margin,0.002097520156189674,0.0004935114993973312,0.00112346435398607,0.0005296699766892327
ts,softmax_var_T0.001,0.002093943926380436,0.0003873174640142101,0.0008505212937242601,0.0004662929111694721
ts,softmax_var_T0.0003,0.002104689999856185,0.00031611450376307855,0.0008505212937242601,0.0004662929111694721
ts,agreement,0.0021914573071780174,0.00030230908050898143,0.0010686074299158933,0.0005614238792533065
ts,disc_agree,0.0021926017072622984,0.000405209893501919,0.0010686074299158933,0.0005614238792533065
ts,best_regime_var,0.0019385425439891024,0.0005911824286280222,0.0008505212937242601,0.0004662929111694721
ts,best_regime_agr,0.002150239002771456,0.00026271564020972996,0.0009481806964684082,0.0006785015313109777
ts,zscore_disc,0.0019110834754023152,0.00039484436679826693,0.000991764231577368,0.0006607234627735853
ts,zscore_uniform,0.0019110834754023152,0.00039484436679826693,0.0009107673468421651,0.0007020854428135903
ts,top1_vote,0.0021926017072622984,0.000405209893501919,0.001131889546183913,0.000700571396975434
ts,ORACLE_best_regime,0.0011505407431672728,0.0007255603956473723,0.0011505407431672728,0.0007255603956473723
