dataset,bench,km,vade,effK,gated
18_Ionosphere,adb,0.004467960023515645,0.023809523809523874,3.0,0.023809523809523874
19_landsat,adb,0.0012307190411706692,0.00037570607147378404,4.5,0.00037570607147378404
20_letter,adb,0.0,0.0,24.0,0.0
23_mammography,adb,0.05085137593146757,0.07253300475268448,1.5,0.05085137593146757
26_optdigits,adb,0.0022014025860179753,0.0022014025860179753,18.0,0.0022014025860179753
27_PageBlocks,adb,0.008619824593091999,0.00713869990165968,3.1666666666666665,0.00713869990165968
28_pendigits,adb,0.006071367203161704,0.003590952771890995,16.333333333333332,0.003590952771890995
29_Pima,adb,0.048631840796019975,0.057823383084577164,2.8333333333333335,0.048631840796019975
30_satellite,adb,0.03362691254390667,0.023629126480919232,4.5,0.023629126480919232
31_satimage-2,adb,0.0039232781168265785,0.0024272341400919752,3.8333333333333335,0.0024272341400919752
35_SpamBase,adb,0.03463716325279879,0.04021819562902499,7.333333333333333,0.04021819562902499
37_Stamps,adb,0.027748872702046474,0.009105098855358984,2.5,0.027748872702046474
38_thyroid,adb,0.014721637836995463,0.04985779959482628,2.1666666666666665,0.014721637836995463
39_vertebral,adb,0.10502645502645504,0.0,4.0,0.0
40_vowels,adb,0.008959810874704432,0.008014184397163096,6.5,0.008014184397163096
41_Waveform,adb,0.045545590433482795,0.0007822620827105201,3.3333333333333335,0.0007822620827105201
42_WBC,adb,0.0,0.006201550387596881,3.0,0.006201550387596881
43_WDBC,adb,0.022222222222222254,0.005092592592592611,7.666666666666667,0.005092592592592611
44_Wilt,adb,0.03555786641436635,0.3956938471963552,2.5,0.03555786641436635
47_yeast,adb,0.05641092729004815,0.03374525352547331,4.0,0.03374525352547331
6_cardio,adb,0.02343106289480908,0.07884738624919892,8.333333333333334,0.07884738624919892
Annthyroid,dami,0.0927129564163068,0.0927129564163068,10.166666666666666,0.0927129564163068
Cardiotocography,dami,0.014535917111024347,0.02802921923093597,6.333333333333333,0.02802921923093597
PageBlocks,dami,0.007708672005137696,0.0,3.1666666666666665,0.0
Pima,dami,0.06814676616915423,0.05182835820895526,2.8333333333333335,0.06814676616915423
Stamps,dami,0.02428026361429066,0.008844953173777315,2.5,0.02428026361429066
WBC,dami,3.700743415417188e-17,3.700743415417188e-17,3.6666666666666665,3.700743415417188e-17
WDBC,dami,0.06388888888888888,0.04351851851851851,8.666666666666666,0.04351851851851851
Waveform,dami,0.015605381165919252,0.07475336322869963,2.8333333333333335,0.015605381165919252
Wilt,dami,0.0,0.19272988664953414,2.5,0.0
