dataset,true_spread,rho,tau,top1_hit,top3_hit_ratio
14_glass,0.5501355013550135,0.2606060606060606,0.1111111111111111,0,0.0
18_Ionosphere,0.21516754850088182,-0.12727272727272726,-0.022222222222222223,0,0.0
19_landsat,0.4071020203630732,-0.6242424242424242,-0.37777777777777777,0,0.0
20_letter,0.399,0.2833333333333333,0.2222222222222222,0,0.3333333333333333
22_magic.gamma,0.20104772955161232,-0.5272727272727272,-0.3333333333333333,0,0.0
23_mammography,0.09106935398697413,0.406060606060606,0.24444444444444444,0,0.3333333333333333
25_musk,0.04961666174092949,-0.14869688228210426,-0.17638342073763935,0,0.3333333333333333
26_optdigits,0.4813412228796844,-0.7,-0.5,0,0.0
27_PageBlocks,0.2840909547032733,0.5030303030303029,0.28888888888888886,0,0.3333333333333333
28_pendigits,0.09551902552647151,-0.6727272727272726,-0.4666666666666666,0,0.0
29_Pima,0.11858208955223892,0.11515151515151514,0.1111111111111111,0,0.6666666666666666
30_satellite,0.2993771209144489,-0.6242424242424242,-0.37777777777777777,0,0.0
31_satimage-2,0.036396232670653395,-0.35757575757575755,-0.15555555555555553,0,0.0
32_shuttle,0.02991837954340104,-0.28484848484848485,-0.19999999999999998,0,0.3333333333333333
35_SpamBase,0.3140591637691359,0.7212121212121211,0.5555555555555555,1,0.3333333333333333
36_speech,0.046896551724137925,-0.8181818181818182,-0.6,0,0.0
37_Stamps,0.11134235171696139,0.0303030303030303,-0.022222222222222223,0,0.3333333333333333
38_thyroid,0.073851683029453,0.6,0.4222222222222222,0,0.6666666666666666
39_vertebral,0.20793650793650797,-0.6727272727272726,-0.4666666666666666,0,0.0
40_vowels,0.5124822695035461,-0.406060606060606,-0.19999999999999998,0,0.0
41_Waveform,0.21808669656203283,-0.4666666666666666,-0.3888888888888889,0,0.3333333333333333
42_WBC,0.011627906976744207,0.5530588810191243,0.43546484316145384,1,0.6666666666666666
43_WDBC,0.04861111111111116,-0.7305542477338166,-0.5291502622129182,0,0.0
44_Wilt,0.5430210406535941,-0.006060606060606061,0.022222222222222223,0,0.3333333333333333
47_yeast,0.12056716177595295,-0.6,-0.4222222222222222,0,0.0
6_cardio,0.12462235649546827,0.32121212121212117,0.24444444444444444,0,0.6666666666666666
