modality,seed,regret1,regret3,rho_s10,top1_s10,n_s10
tabular,0,0.019108418452152068,0.003912769743698436,0.6914565826330532,0.35294117647058826,17
tabular,1,0.018389918732507952,0.008052854862191759,0.6583333333333333,0.3888888888888889,18
tabular,2,0.020947063359126012,0.006456800017672263,0.5673518834003934,0.29411764705882354,17
tabular,3,0.02591408167672512,0.007461661674055235,0.6337535014005602,0.29411764705882354,17
tabular,4,0.020651853213151397,0.008580769799031355,0.5967983035094703,0.21052631578947367,19
cv,0,0.018411881626330263,0.0,0.7941269841269841,0.5333333333333333,15
cv,1,0.007336021586496872,0.0,0.7684523809523809,0.5625,16
cv,2,0.013335787213068561,0.005227376425855507,0.7166666666666666,0.5333333333333333,15
cv,3,0.0130664991852254,0.00017642585551330136,0.723076923076923,0.5384615384615384,13
cv,4,0.01706901945400044,0.0,0.7666666666666666,0.5714285714285714,14
nlp,0,0.03707142419086014,0.009466251442792801,0.6472222222222223,0.5,6
nlp,1,0.07087474026831421,0.048723316617796227,0.4388888888888889,0.16666666666666666,6
nlp,2,0.07074585108420704,0.049370578030075,0.3305555555555555,0.16666666666666666,6
nlp,3,0.08288773396637411,0.04276270866840438,0.45476190476190476,0.0,7
nlp,4,0.06297964254047884,0.05234064096539885,0.17500000000000002,0.16666666666666666,6
ts,0,,0.0009439399753333966,0.7113864493201474,0.0,4
ts,1,0.002574362619294801,0.002197866720410835,0.6824753649662725,0.0,4
ts,2,,0.0013687714437647714,0.7437556597298692,0.25,4
ts,3,0.0018895260357323141,0.00035970409683975244,0.6935777562073233,0.0,5
ts,4,,0.00012111566206290947,0.642301200772404,0.0,4
