dataset,seed,contam,contam_label,regret,random_regret
14_glass,0,0.0,0.000,0.0,0.12255344775669985
14_glass,0,0.005,0.005,0.0,0.12255344775669985
14_glass,0,0.01,0.010,0.0,0.12255344775669985
14_glass,0,0.02,0.020,0.0,0.12255344775669985
14_glass,0,0.05,0.050,0.0,0.12255344775669985
14_glass,0,0.04205607476635514,natural,0.0,0.12255344775669985
14_glass,1,0.0,0.000,0.0,0.14814814814814814
14_glass,1,0.005,0.005,0.0,0.14814814814814814
14_glass,1,0.01,0.010,0.0,0.14814814814814814
14_glass,1,0.02,0.020,0.0,0.14814814814814814
14_glass,1,0.05,0.050,0.0,0.14814814814814814
14_glass,1,0.04205607476635514,natural,0.0,0.14814814814814814
14_glass,2,0.0,0.000,0.18970189701897022,0.09966877446552247
14_glass,2,0.005,0.005,0.0,0.09966877446552247
14_glass,2,0.01,0.010,0.0,0.09966877446552247
14_glass,2,0.02,0.020,0.0,0.09966877446552247
14_glass,2,0.05,0.050,0.0,0.09966877446552247
14_glass,2,0.04205607476635514,natural,0.0,0.09966877446552247
18_Ionosphere,0,0.0,0.000,0.0,0.09135802469135801
18_Ionosphere,0,0.005,0.005,0.0,0.09135802469135801
18_Ionosphere,0,0.01,0.010,0.0,0.09135802469135801
18_Ionosphere,0,0.02,0.020,0.0,0.09135802469135801
18_Ionosphere,0,0.05,0.050,0.04426807760141105,0.09135802469135801
18_Ionosphere,0,0.358974358974359,natural,0.0,0.09135802469135801
18_Ionosphere,1,0.0,0.000,0.010582010582010692,0.07826768567509312
18_Ionosphere,1,0.005,0.005,0.010582010582010692,0.07826768567509312
18_Ionosphere,1,0.01,0.010,0.010582010582010692,0.07826768567509312
18_Ionosphere,1,0.02,0.020,0.023633156966490376,0.07826768567509312
18_Ionosphere,1,0.05,0.050,0.010582010582010692,0.07826768567509312
18_Ionosphere,1,0.358974358974359,natural,0.023633156966490376,0.07826768567509312
18_Ionosphere,2,0.0,0.000,0.002821869488536244,0.09739368998628262
18_Ionosphere,2,0.005,0.005,0.002821869488536244,0.09739368998628262
18_Ionosphere,2,0.01,0.010,0.002821869488536244,0.09739368998628262
18_Ionosphere,2,0.02,0.020,0.0455026455026456,0.09739368998628262
18_Ionosphere,2,0.05,0.050,0.0,0.09739368998628262
18_Ionosphere,2,0.358974358974359,natural,0.0455026455026456,0.09739368998628262
19_landsat,0,0.0,0.000,0.001127118214421352,0.2003276692499928
19_landsat,0,0.005,0.005,0.0,0.2003276692499928
19_landsat,0,0.01,0.010,0.0,0.2003276692499928
19_landsat,0,0.02,0.020,0.0,0.2003276692499928
19_landsat,0,0.05,0.050,0.001127118214421352,0.2003276692499928
19_landsat,0,0.20714840714840715,natural,0.001127118214421352,0.2003276692499928
19_landsat,1,0.0,0.000,0.008062495545531734,0.20671385606767345
19_landsat,1,0.005,0.005,0.0,0.20671385606767345
19_landsat,1,0.01,0.010,0.0,0.20671385606767345
19_landsat,1,0.02,0.020,0.0,0.20671385606767345
19_landsat,1,0.05,0.050,0.0,0.20671385606767345
19_landsat,1,0.20714840714840715,natural,0.0,0.20671385606767345
19_landsat,2,0.0,0.000,0.0025650389090906556,0.20220138286285594
19_landsat,2,0.005,0.005,0.0025650389090906556,0.20220138286285594
19_landsat,2,0.01,0.010,0.0025650389090906556,0.20220138286285594
19_landsat,2,0.02,0.020,0.0025650389090906556,0.20220138286285594
19_landsat,2,0.05,0.050,0.0025650389090906556,0.20220138286285594
19_landsat,2,0.20714840714840715,natural,0.0025650389090906556,0.20220138286285594
20_letter,0,0.0,0.000,0.0,0.23199999999999998
20_letter,0,0.005,0.005,0.0,0.23199999999999998
20_letter,0,0.01,0.010,0.0,0.23199999999999998
20_letter,0,0.02,0.020,0.0,0.23199999999999998
20_letter,0,0.05,0.050,0.0,0.23199999999999998
20_letter,0,0.0625,natural,0.0,0.23199999999999998
20_letter,1,0.0,0.000,0.0,0.2330592592592592
20_letter,1,0.005,0.005,0.0,0.2330592592592592
20_letter,1,0.01,0.010,0.0,0.2330592592592592
20_letter,1,0.02,0.020,0.0,0.2330592592592592
20_letter,1,0.05,0.050,0.0,0.2330592592592592
20_letter,1,0.0625,natural,0.0,0.2330592592592592
20_letter,2,0.0,0.000,0.0,0.22861481481481483
20_letter,2,0.005,0.005,0.0,0.22861481481481483
20_letter,2,0.01,0.010,0.0,0.22861481481481483
20_letter,2,0.02,0.020,0.0,0.22861481481481483
20_letter,2,0.05,0.050,0.0,0.22861481481481483
20_letter,2,0.0625,natural,0.0,0.22861481481481483
22_magic.gamma,0,0.0,0.000,0.009781629470736242,0.09879389870802835
22_magic.gamma,0,0.005,0.005,0.009781629470736242,0.09879389870802835
22_magic.gamma,0,0.01,0.010,0.009781629470736242,0.09879389870802835
22_magic.gamma,0,0.02,0.020,0.009781629470736242,0.09879389870802835
22_magic.gamma,0,0.05,0.050,0.009781629470736242,0.09879389870802835
22_magic.gamma,0,0.3516298633017876,natural,0.009781629470736242,0.09879389870802835
22_magic.gamma,1,0.0,0.000,0.011738076582176404,0.10571427815263545
22_magic.gamma,1,0.005,0.005,0.011738076582176404,0.10571427815263545
22_magic.gamma,1,0.01,0.010,0.011738076582176404,0.10571427815263545
22_magic.gamma,1,0.02,0.020,0.011738076582176404,0.10571427815263545
22_magic.gamma,1,0.05,0.050,0.011738076582176404,0.10571427815263545
22_magic.gamma,1,0.3516298633017876,natural,0.011738076582176404,0.10571427815263545
22_magic.gamma,2,0.0,0.000,0.010232254758021142,0.10328915447867182
22_magic.gamma,2,0.005,0.005,0.010232254758021142,0.10328915447867182
22_magic.gamma,2,0.01,0.010,0.010232254758021142,0.10328915447867182
22_magic.gamma,2,0.02,0.020,0.010232254758021142,0.10328915447867182
22_magic.gamma,2,0.05,0.050,0.010232254758021142,0.10328915447867182
22_magic.gamma,2,0.3516298633017876,natural,0.010232254758021142,0.10328915447867182
23_mammography,0,0.0,0.000,0.04940151381798985,0.031424240646208745
23_mammography,0,0.005,0.005,0.04940151381798985,0.031424240646208745
23_mammography,0,0.01,0.010,0.04940151381798985,0.031424240646208745
23_mammography,0,0.02,0.020,0.04940151381798985,0.031424240646208745
23_mammography,0,0.05,0.050,0.04940151381798985,0.031424240646208745
23_mammography,0,0.023249575248144506,natural,0.04940151381798985,0.031424240646208745
23_mammography,1,0.0,0.000,0.05822390424221091,0.03956414168084643
23_mammography,1,0.005,0.005,0.05822390424221091,0.03956414168084643
23_mammography,1,0.01,0.010,0.05822390424221091,0.03956414168084643
23_mammography,1,0.02,0.020,0.05822390424221091,0.03956414168084643
23_mammography,1,0.05,0.050,0.05822390424221091,0.03956414168084643
23_mammography,1,0.023249575248144506,natural,0.05822390424221091,0.03956414168084643
23_mammography,2,0.0,0.000,0.05680513994015146,0.034479356138395145
23_mammography,2,0.005,0.005,0.05680513994015146,0.034479356138395145
23_mammography,2,0.01,0.010,0.05680513994015146,0.034479356138395145
23_mammography,2,0.02,0.020,0.05680513994015146,0.034479356138395145
23_mammography,2,0.05,0.050,0.05680513994015146,0.034479356138395145
23_mammography,2,0.023249575248144506,natural,0.05680513994015146,0.034479356138395145
25_musk,0,0.0,0.000,0.0,0.015524764868482976
25_musk,0,0.005,0.005,0.0,0.015524764868482976
25_musk,0,0.01,0.010,0.0,0.015524764868482976
25_musk,0,0.02,0.020,0.0,0.015524764868482976
25_musk,0,0.05,0.050,0.0,0.015524764868482976
25_musk,0,0.03167864141084259,natural,0.0,0.015524764868482976
25_musk,1,0.0,0.000,0.0,0.027738661628893047
25_musk,1,0.005,0.005,0.0,0.027738661628893047
25_musk,1,0.01,0.010,0.0,0.027738661628893047
25_musk,1,0.02,0.020,0.0,0.027738661628893047
25_musk,1,0.05,0.050,0.0,0.027738661628893047
25_musk,1,0.03167864141084259,natural,0.0,0.027738661628893047
25_musk,2,0.0,0.000,0.0,0.015459088371590046
25_musk,2,0.005,0.005,0.0,0.015459088371590046
25_musk,2,0.01,0.010,0.0,0.015459088371590046
25_musk,2,0.02,0.020,0.0,0.015459088371590046
25_musk,2,0.05,0.050,0.0,0.015459088371590046
25_musk,2,0.03167864141084259,natural,0.0,0.015459088371590046
26_optdigits,0,0.0,0.000,0.0017422748191977533,0.17160174227481906
26_optdigits,0,0.005,0.005,0.0017422748191977533,0.17160174227481906
26_optdigits,0,0.01,0.010,0.0017422748191977533,0.17160174227481906
26_optdigits,0,0.02,0.020,0.0017422748191977533,0.17160174227481906
26_optdigits,0,0.05,0.050,0.0017422748191977533,0.17160174227481906
26_optdigits,0,0.028757668711656442,natural,0.0017422748191977533,0.17160174227481906
26_optdigits,1,0.0,0.000,0.0,0.19511834319526622
26_optdigits,1,0.005,0.005,0.00239973701512175,0.19511834319526622
26_optdigits,1,0.01,0.010,0.00239973701512175,0.19511834319526622
26_optdigits,1,0.02,0.020,0.00239973701512175,0.19511834319526622
26_optdigits,1,0.05,0.050,0.00239973701512175,0.19511834319526622
26_optdigits,1,0.028757668711656442,natural,0.00239973701512175,0.19511834319526622
26_optdigits,2,0.0,0.000,0.002389875082182691,0.16915392833662068
26_optdigits,2,0.005,0.005,0.002389875082182691,0.16915392833662068
26_optdigits,2,0.01,0.010,0.002389875082182691,0.16915392833662068
26_optdigits,2,0.02,0.020,0.002389875082182691,0.16915392833662068
26_optdigits,2,0.05,0.050,0.002389875082182691,0.16915392833662068
26_optdigits,2,0.028757668711656442,natural,0.002389875082182691,0.16915392833662068
27_PageBlocks,0,0.0,0.000,0.007216970718686544,0.09306567389835485
27_PageBlocks,0,0.005,0.005,0.007216970718686544,0.09306567389835485
27_PageBlocks,0,0.01,0.010,0.00467718305336462,0.09306567389835485
27_PageBlocks,0,0.02,0.020,0.0,0.09306567389835485
27_PageBlocks,0,0.05,0.050,0.007216970718686544,0.09306567389835485
27_PageBlocks,0,0.09456703133691823,natural,0.007216970718686544,0.09306567389835485
27_PageBlocks,1,0.0,0.000,0.010699018604370947,0.10465109278102225
27_PageBlocks,1,0.005,0.005,0.010699018604370947,0.10465109278102225
27_PageBlocks,1,0.01,0.010,0.010699018604370947,0.10465109278102225
27_PageBlocks,1,0.02,0.020,0.010699018604370947,0.10465109278102225
27_PageBlocks,1,0.05,0.050,0.0,0.10465109278102225
27_PageBlocks,1,0.09456703133691823,natural,0.010699018604370947,0.10465109278102225
27_PageBlocks,2,0.0,0.000,0.0035001103819215507,0.11979426593792297
27_PageBlocks,2,0.005,0.005,0.0035001103819215507,0.11979426593792297
27_PageBlocks,2,0.01,0.010,0.0035001103819215507,0.11979426593792297
27_PageBlocks,2,0.02,0.020,0.0035001103819215507,0.11979426593792297
27_PageBlocks,2,0.05,0.050,0.013428462480181369,0.11979426593792297
27_PageBlocks,2,0.09456703133691823,natural,0.007943484456218508,0.11979426593792297
28_pendigits,0,0.0,0.000,0.005207438379441376,0.04502665504154724
28_pendigits,0,0.005,0.005,0.005207438379441376,0.04502665504154724
28_pendigits,0,0.01,0.010,0.005207438379441376,0.04502665504154724
28_pendigits,0,0.02,0.020,0.005207438379441376,0.04502665504154724
28_pendigits,0,0.05,0.050,0.005207438379441376,0.04502665504154724
28_pendigits,0,0.022707423580786028,natural,0.005207438379441376,0.04502665504154724
28_pendigits,1,0.0,0.000,0.007441243293812128,0.04046676552261064
28_pendigits,1,0.005,0.005,0.007441243293812128,0.04046676552261064
28_pendigits,1,0.01,0.010,0.007441243293812128,0.04046676552261064
28_pendigits,1,0.02,0.020,0.007441243293812128,0.04046676552261064
28_pendigits,1,0.05,0.050,0.007441243293812128,0.04046676552261064
28_pendigits,1,0.022707423580786028,natural,0.007441243293812128,0.04046676552261064
28_pendigits,2,0.0,0.000,0.005565419936231608,0.042906873882301966
28_pendigits,2,0.005,0.005,0.005565419936231608,0.042906873882301966
28_pendigits,2,0.01,0.010,0.005565419936231608,0.042906873882301966
