dataset,aggregation,spearman_rho,kendall_tau,top1_hit,top3_hit_ratio,n_detectors,note,K,selection,seed,true_spread
14_glass,borda,0.04242424242424241,0.06666666666666667,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.5501355013550135
14_glass,mean,0.05454545454545454,0.1111111111111111,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.5501355013550135
14_glass,varweight,-0.006060606060606061,0.022222222222222223,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.5501355013550135
18_Ionosphere,borda,0.9300954818304988,0.8090398349558905,0,0.6666666666666666,10,,30,composite_top_quartile,0,0.21516754850088182
18_Ionosphere,mean,0.9151515151515152,0.7777777777777777,0,1.0,10,,30,composite_top_quartile,0,0.21516754850088182
18_Ionosphere,varweight,0.9393939393939393,0.8222222222222221,0,1.0,10,,30,composite_top_quartile,0,0.21516754850088182
19_landsat,borda,0.38181818181818183,0.28888888888888886,0,0.0,10,,30,composite_top_quartile,0,0.4071020203630732
19_landsat,mean,0.38181818181818183,0.28888888888888886,0,0.0,10,,30,composite_top_quartile,0,0.4071020203630732
19_landsat,varweight,0.4545454545454545,0.37777777777777777,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.4071020203630732
20_letter,borda,0.8870370532810664,0.760638829255665,0,1.0,9,,30,composite_top_quartile,0,0.399
20_letter,mean,0.9,0.7777777777777778,0,1.0,9,,30,composite_top_quartile,0,0.399
20_letter,varweight,0.9,0.7777777777777778,0,1.0,9,,30,composite_top_quartile,0,0.399
22_magic.gamma,borda,0.6363636363636362,0.6,1,0.6666666666666666,10,,30,composite_top_quartile,0,0.20104772955161232
22_magic.gamma,mean,0.6242424242424242,0.5555555555555555,1,0.6666666666666666,10,,30,composite_top_quartile,0,0.20104772955161232
22_magic.gamma,varweight,0.6242424242424242,0.5555555555555555,1,0.6666666666666666,10,,30,composite_top_quartile,0,0.20104772955161232
23_mammography,borda,-0.10303030303030303,-0.06666666666666667,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.09106935398697413
23_mammography,mean,0.04242424242424241,0.06666666666666667,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.09106935398697413
23_mammography,varweight,0.006060606060606061,0.022222222222222223,0,0.3333333333333333,10,,30,composite_top_quartile,0,0.09106935398697413
25_musk,borda,0.7693447387639306,0.579545525280815,0,0.6666666666666666,10,,30,composite_top_quartile,0,0.04961666174092949
25_musk,mean,0.6917637567037024,0.4283597360771242,0,0.6666666666666666,10,,30,composite_top_quartile,0,0.04961666174092949
25_musk,varweight,0.7176240840571118,0.4787549991450211,0,0.6666666666666666,10,,30,composite_top_quartile,0,0.04961666174092949
26_optdigits,borda,-0.6333333333333333,-0.4444444444444444,0,0.0,9,,30,composite_top_quartile,0,0.4813412228796844
26_optdigits,mean,-0.6333333333333333,-0.4444444444444444,0,0.0,9,,30,composite_top_quartile,0,0.4813412228796844
26_optdigits,varweight,-0.6833333333333333,-0.4444444444444444,0,0.0,9,,30,composite_top_quartile,0,0.4813412228796844
27_PageBlocks,borda,0.6,0.4666666666666666,1,0.6666666666666666,10,,30,composite_top_quartile,0,0.2840909547032733
27_PageBlocks,mean,0.6,0.4666666666666666,1,0.6666666666666666,10,,30,composite_top_quartile,0,0.2840909547032733
27_PageBlocks,varweight,0.6,0.4666666666666666,1,0.6666666666666666,10,,30,composite_top_quartile,0,0.2840909547032733
28_pendigits,borda,0.7454545454545454,0.5555555555555555,1,0.3333333333333333,10,,30,composite_top_quartile,0,0.09551902552647151
28_pendigits,mean,0.7696969696969697,0.5555555555555555,1,0.6666666666666666,10,,30,composite_top_quartile,0,0.09551902552647151
