dataset,aggregation,spearman_rho,kendall_tau,top1_hit,top3_hit_ratio,n_detectors,note,true_spread,modality
14_glass,mean,0.7666666666666667,0.611111111111111,1,0.6666666666666666,9,,0.23848238482384831,tabular
18_Ionosphere,mean,0.6166666666666666,0.5,0,0.6666666666666666,9,,0.21516754850088182,tabular
19_landsat,mean,0.8166666666666667,0.611111111111111,0,0.6666666666666666,9,,0.4071020203630732,tabular
20_letter,mean,0.4761904761904762,0.3571428571428571,1,0.6666666666666666,8,,0.39733333333333337,tabular
22_magic.gamma,mean,0.8833333333333333,0.7777777777777778,0,1.0,9,,0.20104772955161232,tabular
23_mammography,mean,-0.26666666666666666,-0.2777777777777778,0,0.0,9,,0.0773305756028867,tabular
25_musk,mean,0.6614950926316517,0.6085806194501846,0,0.6666666666666666,9,,0.04961666174092949,tabular
26_optdigits,mean,0.9285714285714287,0.7857142857142856,0,1.0,8,,0.4223800131492439,tabular
27_PageBlocks,mean,0.7833333333333333,0.5555555555555556,1,0.6666666666666666,9,,0.2840909547032733,tabular
28_pendigits,mean,0.8666666666666667,0.7777777777777778,1,1.0,9,,0.09551902552647151,tabular
29_Pima,mean,0.7666666666666667,0.611111111111111,1,0.6666666666666666,9,,0.11858208955223892,tabular
30_satellite,mean,0.7166666666666667,0.5555555555555556,0,0.6666666666666666,9,,0.2993771209144489,tabular
31_satimage-2,mean,0.8666666666666667,0.7222222222222222,1,1.0,9,,0.036396232670653395,tabular
32_shuttle,mean,0.7166666666666667,0.611111111111111,1,0.6666666666666666,9,,0.33482111090210076,tabular
35_SpamBase,mean,0.26666666666666666,0.16666666666666666,0,0.6666666666666666,9,,0.45802955363511577,tabular
36_speech,mean,0.5333333333333333,0.4444444444444444,0,0.3333333333333333,9,,0.09291124929338607,tabular
37_Stamps,mean,0.0,-0.05555555555555555,0,0.3333333333333333,9,,0.06919875130072839,tabular
38_thyroid,mean,0.5,0.4444444444444444,0,0.3333333333333333,9,,0.11472942964001864,tabular
39_vertebral,mean,0.16666666666666669,0.16666666666666666,0,0.3333333333333333,9,,0.21349206349206346,tabular
40_vowels,mean,1.0,1.0,1,1.0,9,,0.5124822695035461,tabular
41_Waveform,mean,0.5476190476190477,0.4999999999999999,1,0.6666666666666666,8,,0.18647234678624813,tabular
42_WBC,mean,0.21783245945486837,0.18184824186332701,0,0.0,9,,0.011627906976744207,tabular
43_WDBC,mean,-0.8814825547070536,-0.7833494518006403,0,0.0,9,,0.04861111111111116,tabular
44_Wilt,mean,0.7666666666666667,0.611111111111111,0,1.0,9,,0.5430210406535941,tabular
47_yeast,mean,0.03333333333333333,-0.05555555555555555,0,0.6666666666666666,9,,0.14736042345932465,tabular
6_cardio,mean,0.09999999999999999,0.0,0,0.3333333333333333,9,,0.11751579236473497,tabular
CIFAR10_0,mean,0.8166666666666667,0.611111111111111,0,0.6666666666666666,9,,0.05805323193916356,cv
CIFAR10_1,mean,0.39999999999999997,0.3333333333333333,0,0.6666666666666666,9,,0.3109011406844107,cv
CIFAR10_2,mean,0.6166666666666666,0.3888888888888889,0,0.6666666666666666,9,,0.07943346007604557,cv
CIFAR10_3,mean,0.4285714285714286,0.42857142857142855,1,0.6666666666666666,8,,0.18255893536121676,cv
CIFAR10_4,mean,0.9,0.7222222222222222,0,1.0,9,,0.0839429657794678,cv
CIFAR10_5,mean,0.6166666666666666,0.5,1,0.6666666666666666,9,,0.20750950570342208,cv
CIFAR10_6,mean,0.9333333333333332,0.8333333333333334,1,1.0,9,,0.10670722433460089,cv
CIFAR10_7,mean,0.39999999999999997,0.3333333333333333,0,0.6666666666666666,9,,0.18846387832699618,cv
CIFAR10_8,mean,0.7666666666666667,0.5555555555555556,1,0.6666666666666666,9,,0.107574144486692,cv
CIFAR10_9,mean,0.7333333333333334,0.5555555555555556,1,0.6666666666666666,9,,0.18780608365019003,cv
FashionMNIST_0,mean,0.8333333333333333,0.6666666666666666,1,1.0,9,,0.15519841269841284,cv
FashionMNIST_1,mean,0.6666666666666667,0.5,0,1.0,9,,0.09542857142857131,cv
FashionMNIST_2,mean,0.8333333333333333,0.6666666666666666,0,1.0,9,,0.28289417989417975,cv
FashionMNIST_3,mean,0.9166666666666666,0.7777777777777778,1,0.6666666666666666,9,,0.1444391534391537,cv
FashionMNIST_4,mean,0.8166666666666667,0.6666666666666666,0,1.0,9,,0.2568756613756611,cv
FashionMNIST_5,mean,0.43333333333333335,0.2777777777777778,0,0.6666666666666666,9,,0.04862433862433879,cv
FashionMNIST_6,mean,0.9166666666666666,0.7777777777777778,0,1.0,9,,0.2916455026455026,cv
FashionMNIST_7,mean,0.6,0.4444444444444444,1,1.0,9,,0.027542328042328035,cv
FashionMNIST_8,mean,0.8333333333333333,0.6666666666666666,1,1.0,9,,0.2734735449735449,cv
FashionMNIST_9,mean,0.8166666666666667,0.6666666666666666,1,0.6666666666666666,9,,0.04719312169312184,cv
20news_0,mean,0.7166666666666667,0.5555555555555556,0,0.6666666666666666,9,,0.19005654209735834,nlp
20news_1,mean,0.5166666666666667,0.3888888888888889,0,0.6666666666666666,9,,0.09384100418410052,nlp
20news_2,mean,0.5333333333333333,0.4444444444444444,1,0.6666666666666666,9,,0.07835314091680817,nlp
20news_3,mean,0.15,0.16666666666666666,0,0.3333333333333333,9,,0.04472934472934453,nlp
20news_4,mean,0.13333333333333333,0.16666666666666666,0,0.6666666666666666,9,,0.0704994192799071,nlp
20news_5,mean,0.0,0.0,0,0.3333333333333333,9,,0.06921413121845699,nlp
agnews_0,mean,0.8499999999999999,0.6666666666666666,0,1.0,9,,0.18245684210526325,nlp
agnews_1,mean,0.8333333333333333,0.6666666666666666,1,0.6666666666666666,9,,0.3508526315789474,nlp
agnews_2,mean,0.3666666666666667,0.3333333333333333,1,0.6666666666666666,9,,0.1791452631578947,nlp
agnews_3,mean,0.5166666666666667,0.4444444444444444,1,0.6666666666666666,9,,0.20293368421052627,nlp
amazon,mean,0.13333333333333333,0.1111111111111111,0,0.3333333333333333,9,,0.08668842105263153,nlp
imdb,mean,0.25,0.16666666666666666,0,0.3333333333333333,9,,0.04653052631578947,nlp
yelp,mean,0.7833333333333333,0.5555555555555556,0,1.0,9,,0.10953368421052623,nlp
ts_amplitude,mean,0.7075275528876865,0.49135381491199537,0,0.6666666666666666,8,,0.007244277021153267,ts
ts_freq_shift,mean,0.3096261412396175,0.253546276418555,0,0.0,9,,0.0474576271186441,ts
ts_mixed,mean,0.7302967433402214,0.6454972243679028,0,0.3333333333333333,9,,0.060286866875840395,ts
ts_point_spikes_0,mean,0.6546536707079772,0.5765566601970551,0,0.6666666666666666,8,,0.09952407614781633,ts
ts_point_spikes_1,mean,0.7637626158259735,0.6813851438692469,0,0.3333333333333333,8,,0.20790255496137844,ts
ts_point_spikes_2,mean,0.668153104781061,0.5921565254637922,0,0.3333333333333333,7,,0.28658280922431867,ts
ts_point_spikes_3,mean,0.5249007842757842,0.4733646312031287,0,0.3333333333333333,9,,0.327846790890269,ts
ts_subseq_0,mean,-0.45,-0.3333333333333333,0,0.3333333333333333,9,,0.011294876966518763,ts
ts_subseq_1,mean,0.3333333333333334,0.21428571428571427,0,0.6666666666666666,8,,0.03759086188992733,ts
ts_trend,mean,0.5,0.4444444444444444,0,0.3333333333333333,9,,0.10993408662900195,ts
