dataset,true_spread,rho_mean,rho_std,top1_hit
44_Wilt,0.664,0.167,,0.0
44_Wilt,0.592,0.767,,0.0
44_Wilt,0.544,0.5,,0.0
44_Wilt,0.543,0.767,,0.0
44_Wilt,0.536,0.467,,0.0
40_vowels,0.512,1.0,,1.0
40_vowels,0.486,0.933,,0.0
32_shuttle,0.481,0.633,,0.0
40_vowels,0.473,0.933,,1.0
40_vowels,0.461,0.95,,1.0
35_SpamBase,0.458,0.267,,0.0
40_vowels,0.457,0.95,,1.0
26_optdigits,0.452,0.548,,1.0
26_optdigits,0.422,0.929,,0.0
19_landsat,0.42,0.933,,1.0
19_landsat,0.407,0.867,,0.0
19_landsat,0.407,0.817,,0.0
19_landsat,0.406,0.883,,0.0
20_letter,0.403,0.883,,1.0
26_optdigits,0.398,0.524,,0.0
26_optdigits,0.397,0.381,,0.0
20_letter,0.397,0.476,,1.0
19_landsat,0.393,0.817,,0.0
27_PageBlocks,0.387,0.783,,1.0
26_optdigits,0.371,0.714,,0.0
20_letter,0.366,0.783,,1.0
20_letter,0.362,0.883,,1.0
14_glass,0.36,0.65,,0.0
27_PageBlocks,0.347,0.15,,0.0
20_letter,0.342,0.8,,0.0
35_SpamBase,0.342,0.167,,0.0
27_PageBlocks,0.336,0.833,,0.0
32_shuttle,0.335,0.717,,1.0
30_satellite,0.312,0.867,,0.0
14_glass,0.309,0.723,,1.0
30_satellite,0.299,0.717,,0.0
30_satellite,0.298,0.85,,0.0
30_satellite,0.294,0.817,,1.0
30_satellite,0.293,0.8,,0.0
27_PageBlocks,0.286,0.833,,0.0
27_PageBlocks,0.284,0.783,,1.0
35_SpamBase,0.25,0.2,,0.0
18_Ionosphere,0.242,0.217,,0.0
18_Ionosphere,0.241,0.333,,0.0
14_glass,0.238,0.767,,1.0
18_Ionosphere,0.236,0.5,,0.0
35_SpamBase,0.233,0.25,,0.0
39_vertebral,0.225,0.55,,0.0
18_Ionosphere,0.215,0.617,,0.0
39_vertebral,0.213,0.167,,0.0
41_Waveform,0.212,-0.633,,0.0
22_magic.gamma,0.209,0.883,,0.0
22_magic.gamma,0.208,0.983,,1.0
22_magic.gamma,0.208,0.733,,0.0
22_magic.gamma,0.203,0.867,,0.0
22_magic.gamma,0.201,0.883,,0.0
41_Waveform,0.2,0.643,,1.0
14_glass,0.192,0.833,,1.0
39_vertebral,0.19,-0.417,,0.0
41_Waveform,0.189,0.817,,1.0
18_Ionosphere,0.188,0.617,,1.0
41_Waveform,0.186,0.548,,1.0
41_Waveform,0.183,0.717,,0.0
35_SpamBase,0.183,0.2,,0.0
39_vertebral,0.182,0.65,,0.0
14_glass,0.173,0.633,,0.0
47_yeast,0.154,0.233,,0.0
39_vertebral,0.148,-0.55,,0.0
47_yeast,0.147,0.033,,0.0
29_Pima,0.145,0.45,,1.0
47_yeast,0.143,-0.367,,0.0
47_yeast,0.139,0.15,,0.0
29_Pima,0.126,0.233,,0.0
29_Pima,0.124,0.567,,1.0
29_Pima,0.12,0.433,,0.0
29_Pima,0.119,0.767,,1.0
6_cardio,0.118,0.181,0.114,0.0
38_thyroid,0.115,0.5,,0.0
28_pendigits,0.108,0.9,,0.0
47_yeast,0.108,-0.05,,0.0
38_thyroid,0.106,0.433,,0.0
6_cardio,0.105,0.357,,0.0
6_cardio,0.105,0.0,,0.0
6_cardio,0.104,0.783,,1.0
25_musk,0.102,0.757,,0.0
28_pendigits,0.099,0.883,,0.0
28_pendigits,0.096,0.867,,1.0
36_speech,0.093,0.533,,0.0
25_musk,0.093,0.548,,0.0
23_mammography,0.091,-0.133,,0.0
28_pendigits,0.09,0.95,,1.0
28_pendigits,0.089,0.9,,0.0
23_mammography,0.085,-0.317,,0.0
23_mammography,0.084,-0.317,,0.0
23_mammography,0.082,-0.183,,0.0
23_mammography,0.077,-0.267,,0.0
37_Stamps,0.073,0.41,,1.0
38_thyroid,0.07,-0.083,,0.0
37_Stamps,0.069,0.0,,0.0
36_speech,0.066,0.367,,1.0
36_speech,0.066,0.417,,1.0
38_thyroid,0.066,-0.067,,0.0
37_Stamps,0.065,0.317,0.024,0.0
37_Stamps,0.064,-0.042,,0.0
38_thyroid,0.064,0.633,,0.0
43_WDBC,0.06,-0.877,,0.0
42_WBC,0.058,0.417,,0.0
25_musk,0.055,0.775,,0.0
43_WDBC,0.053,-0.428,,0.0
36_speech,0.052,0.483,,1.0
32_shuttle,0.05,0.667,,0.0
25_musk,0.05,0.661,,0.0
32_shuttle,0.049,0.867,,0.0
43_WDBC,0.049,-0.881,,0.0
43_WDBC,0.046,-0.678,,0.0
43_WDBC,0.044,-0.218,,0.0
42_WBC,0.04,0.749,,0.0
42_WBC,0.04,-0.676,,0.0
25_musk,0.038,0.676,,0.0
36_speech,0.038,0.317,,1.0
31_satimage-2,0.036,0.867,,1.0
42_WBC,0.035,0.269,,0.0
31_satimage-2,0.035,0.917,,1.0
31_satimage-2,0.034,0.883,,1.0
31_satimage-2,0.034,0.867,,1.0
31_satimage-2,0.033,0.833,,0.0
32_shuttle,0.02,0.683,,1.0
42_WBC,0.012,0.218,,0.0
