dataset,aggregation,spearman_rho,kendall_tau,top1_hit,top3_hit_ratio,n_detectors,note,true_spread,seed
14_glass,mean,0.7666666666666667,0.611111111111111,1,0.6666666666666666,9,,0.23848238482384831,0
18_Ionosphere,mean,0.6166666666666666,0.5,0,0.6666666666666666,9,,0.21516754850088182,0
19_landsat,mean,0.8166666666666667,0.611111111111111,0,0.6666666666666666,9,,0.4071020203630732,0
20_letter,mean,0.4761904761904762,0.3571428571428571,1,0.6666666666666666,8,,0.39733333333333337,0
22_magic.gamma,mean,0.8833333333333333,0.7777777777777778,0,1.0,9,,0.20104772955161232,0
23_mammography,mean,-0.26666666666666666,-0.2777777777777778,0,0.0,9,,0.0773305756028867,0
25_musk,mean,0.6614950926316517,0.6085806194501846,0,0.6666666666666666,9,,0.04961666174092949,0
26_optdigits,mean,0.9285714285714287,0.7857142857142856,0,1.0,8,,0.4223800131492439,0
27_PageBlocks,mean,0.7833333333333333,0.5555555555555556,1,0.6666666666666666,9,,0.2840909547032733,0
28_pendigits,mean,0.8666666666666667,0.7777777777777778,1,1.0,9,,0.09551902552647151,0
29_Pima,mean,0.7666666666666667,0.611111111111111,1,0.6666666666666666,9,,0.11858208955223892,0
30_satellite,mean,0.7166666666666667,0.5555555555555556,0,0.6666666666666666,9,,0.2993771209144489,0
31_satimage-2,mean,0.8666666666666667,0.7222222222222222,1,1.0,9,,0.036396232670653395,0
32_shuttle,mean,0.7166666666666667,0.611111111111111,1,0.6666666666666666,9,,0.33482111090210076,0
35_SpamBase,mean,0.26666666666666666,0.16666666666666666,0,0.6666666666666666,9,,0.45802955363511577,0
36_speech,mean,0.5333333333333333,0.4444444444444444,0,0.3333333333333333,9,,0.09291124929338607,0
37_Stamps,mean,0.0,-0.05555555555555555,0,0.3333333333333333,9,,0.06919875130072839,0
38_thyroid,mean,0.5,0.4444444444444444,0,0.3333333333333333,9,,0.11472942964001864,0
39_vertebral,mean,0.16666666666666669,0.16666666666666666,0,0.3333333333333333,9,,0.21349206349206346,0
40_vowels,mean,1.0,1.0,1,1.0,9,,0.5124822695035461,0
41_Waveform,mean,0.5476190476190477,0.4999999999999999,1,0.6666666666666666,8,,0.18647234678624813,0
42_WBC,mean,0.21783245945486837,0.18184824186332701,0,0.0,9,,0.011627906976744207,0
43_WDBC,mean,-0.8814825547070536,-0.7833494518006403,0,0.0,9,,0.04861111111111116,0
44_Wilt,mean,0.7666666666666667,0.611111111111111,0,1.0,9,,0.5430210406535941,0
47_yeast,mean,0.03333333333333333,-0.05555555555555555,0,0.6666666666666666,9,,0.14736042345932465,0
6_cardio,mean,0.09999999999999999,0.0,0,0.3333333333333333,9,,0.11751579236473497,0
14_glass,mean,0.65,0.5,0,1.0,9,,0.3604336043360433,1
18_Ionosphere,mean,0.6166666666666666,0.611111111111111,1,0.6666666666666666,9,,0.18800705467372147,1
19_landsat,mean,0.9333333333333332,0.8333333333333334,1,0.6666666666666666,9,,0.4204474233151823,1
20_letter,mean,0.8833333333333333,0.7777777777777778,1,1.0,9,,0.4027666666666667,1
22_magic.gamma,mean,0.9833333333333333,0.9444444444444445,1,1.0,9,,0.20838555778379875,1
23_mammography,mean,-0.18333333333333335,-0.16666666666666666,0,0.0,9,,0.08173120929413846,1
25_musk,mean,0.5483446162604482,0.3651483716701107,0,1.0,9,,0.09300950957041776,1
26_optdigits,mean,0.5476190476190477,0.42857142857142855,1,0.6666666666666666,8,,0.4521301775147929,1
27_PageBlocks,mean,0.8333333333333333,0.6666666666666666,0,0.6666666666666666,9,,0.3358339855901419,1
28_pendigits,mean,0.9500000000000001,0.8888888888888888,1,1.0,9,,0.08992974015312061,1
29_Pima,mean,0.5666666666666667,0.3888888888888889,1,0.3333333333333333,9,,0.12376865671641801,1
30_satellite,mean,0.8666666666666667,0.7777777777777778,0,0.6666666666666666,9,,0.31187488837292376,1
31_satimage-2,mean,0.9166666666666666,0.7777777777777778,1,1.0,9,,0.03506391443692669,1
32_shuttle,mean,0.6666666666666667,0.5,0,0.6666666666666666,9,,0.050437102731496264,1
35_SpamBase,mean,0.19999999999999998,0.05555555555555555,0,0.6666666666666666,9,,0.1832883303867585,1
