dataset,status,n,d,rate,seed,regret,random_regret,best_regret_possible,pick,max_regime_var,score_json,true_auc_json,regime_var_json
TextCategorization.npz,filtered,9282,5,0.0005,,,,,,,,,
StudentAssessment.npz,filtered,117017,10,0.135,,,,,,,,,
JobStatus.npz,filtered,38081,19,0.002,,,,,,,,,
CovtypeAnomaly.npz,filtered,286048,10,0.0096,,,,,,,,,
HousingConstruction.npz,filtered,21424,9,0.0009,,,,,,,,,
DifferentialExpression.npz,filtered,104014,6,0.0,,,,,,,,,
SystemLogs.npz,filtered,21834,3,0.0005,,,,,,,,,
FishSurveyAnomaly.npz,filtered,86743,7,0.0154,,,,,,,,,
FacilityViolation.npz,filtered,45987,5,0.0038,,,,,,,,,
BuildingEmissions.npz,filtered,3655,9,0.0016,,,,,,,,,
MotionLearningEvents.npz,filtered,11036,3,0.0011,,,,,,,,,
OzoneLevels.npz,filtered,342858,6,0.2783,,,,,,,,,
TVShowAnomalies.npz,filtered,107613,3,0.0289,,,,,,,,,
TruckEnginePerformance.npz,filtered,6788,17,0.0009,,,,,,,,,
TreeRiskAssessment.npz,filtered,10254,14,0.0049,,,,,,,,,
WebTraffic.npz,filtered,9072,11,0.0017,,,,,,,,,
ProtestEvents.npz,filtered,24366,4,0.0043,,,,,,,,,
CancerTreatment.npz,filtered,124394,4,0.0063,,,,,,,,,
PopulationComparison.npz,filtered,80035,6,0.0001,,,,,,,,,
ShapeTrackingAnomaly.npz,filtered,115129,6,0.0003,,,,,,,,,
SystemMessageAnomalies.npz,filtered,7381,3,0.0028,,,,,,,,,
YouTubeFaceDetection.npz,filtered,55036,5,0.0717,,,,,,,,,
HockeyPlayerStatus.npz,filtered,6341,3,0.0038,,,,,,,,,
PatientReadmission.npz,filtered,78887,11,0.0885,,,,,,,,,
DroneNavigation.npz,filtered,6177,119,0.0015,,,,,,,,,
GasLeakIncident.npz,filtered,82006,13,0.0002,,,,,,,,,
TorontoPoliceContacts.npz,filtered,25802,5,0.0014,,,,,,,,,
MineralComposition.npz,filtered,27347,17,0.0012,,,,,,,,,
FraudulentTransactions.npz,filtered,110000,6,0.0505,,,,,,,,,
BankTransactions.npz,filtered,82163,3,0.0025,,,,,,,,,
CreditCardFraud.npz,filtered,59367,5,0.0037,,,,,,,,,
IncidentPortfolio.npz,filtered,7231,4,0.0019,,,,,,,,,
CourseEvaluation.npz,filtered,419829,4,0.1397,,,,,,,,,
SpeciesObservation.npz,filtered,49688,8,0.004,,,,,,,,,
DamageFunctionSources.npz,filtered,32580,3,0.0013,,,,,,,,,
AmbulanceDeployment.npz,filtered,133267,7,0.0001,,,,,,,,,
TurnaroundValidation.npz,filtered,34615,3,0.0043,,,,,,,,,
RoadCasualtyDefect.npz,filtered,10932,11,0.0015,,,,,,,,,
PlayerMatchEvents.npz,filtered,335787,9,0.1896,,,,,,,,,
AllegationAnalysis.npz,filtered,2134,5,0.0037,,,,,,,,,
MineAccident.npz,filtered,3826,21,0.0021,,,,,,,,,
PerformanceResult.npz,ok,1000,5,0.03,0.0,0.004295532646048095,0.0017659411989308094,0.0,LOF,0.021408964144591865,"{""CBLOF"": 6.778092502897387, ""COPOD"": 2.3295194604559977, ""ECOD"": 3.0772796181103788, ""HBOS"": 5.13405510879747, ""IForest"": 5.910326390623052, ""KNN"": 8.178436608217993, ""LODA"": 1.8083245492167264, ""LOF"": 8.821563391782005, ""PCA"": 2.962402369898987}","{""IForest"": 1.0, ""LOF"": 0.9957044673539519, ""KNN"": 1.0, ""ECOD"": 0.9905498281786942, ""COPOD"": 1.0, ""HBOS"": 0.9987113402061856, ""PCA"": 0.9998281786941581, ""CBLOF"": 1.0, ""LODA"": 0.9993127147766323}","{""smallest_K30"": 0.006776453893150834, ""random_K30"": 0.019452514546534544, ""hard_K30"": 0.015081074815501999, ""smallest_K50"": 0.0033881300194393803, ""random_K50"": 0.010233907017704201, ""hard_K50"": 0.021408964144591865}"
PerformanceResult.npz,ok,1000,5,0.03,1.0,0.0036082474226803996,0.0014891179839633395,0.0,LOF,0.034420901340510277,"{""CBLOF"": 6.742322086109238, ""COPOD"": 2.801094223791339, ""ECOD"": 2.508512468664043, ""HBOS"": 5.479908836547146, ""IForest"": 5.777769077343618, ""KNN"": 8.381522638533161, ""LODA"": 1.7317085255371245, ""LOF"": 8.618477361466843, ""PCA"": 2.958684782007495}","{""IForest"": 0.9987972508591065, ""LOF"": 0.9963917525773196, ""KNN"": 1.0, ""ECOD"": 0.9979381443298969, ""COPOD"": 1.0, ""HBOS"": 0.998109965635739, ""PCA"": 1.0, ""CBLOF"": 0.9953608247422681, ""LODA"": 1.0}","{""smallest_K30"": 0.0024836475290319028, ""random_K30"": 0.009781790021820318, ""hard_K30"": 0.034420901340510277, ""smallest_K50"": 0.008260631199545704, ""random_K50"": 0.013542538582976393, ""hard_K50"": 0.020806915423930258}"
