dataset,detector,aggregation,score,rank
synth_blobs,CBLOF,mean,0.9947779605263157,1.0
synth_blobs,COPOD,mean,0.9889144736842106,6.0
synth_blobs,ECOD,mean,0.9834155701754386,8.0
synth_blobs,HBOS,mean,0.981875,9.0
synth_blobs,IForest,mean,0.9919736842105263,5.0
synth_blobs,KNN,mean,0.9933497807017544,4.0
synth_blobs,LODA,mean,0.9798739035087719,10.0
synth_blobs,LOF,mean,0.994155701754386,3.0
synth_blobs,OCSVM,mean,0.9941831140350877,2.0
synth_blobs,PCA,mean,0.9887774122807017,7.0
synth_high_dim_var,CBLOF,mean,0.8854955061494797,5.0
synth_high_dim_var,COPOD,mean,0.8692650846210449,9.0
synth_high_dim_var,ECOD,mean,0.885370676968359,6.0
synth_high_dim_var,HBOS,mean,0.884174944812362,7.0
synth_high_dim_var,IForest,mean,0.8750597866077998,8.0
synth_high_dim_var,KNN,mean,0.8924714863870492,4.0
synth_high_dim_var,LODA,mean,0.847833885209713,10.0
synth_high_dim_var,LOF,mean,0.8944950331125827,2.0
synth_high_dim_var,OCSVM,mean,0.8975763428991906,1.0
synth_high_dim_var,PCA,mean,0.8939937454010302,3.0
synth_local_dense,CBLOF,mean,0.7528640699135778,3.0
synth_local_dense,COPOD,mean,0.6368213344349627,10.0
synth_local_dense,ECOD,mean,0.6510403482600293,9.0
synth_local_dense,HBOS,mean,0.6835253093562641,7.0
synth_local_dense,IForest,mean,0.7089628515111536,5.0
synth_local_dense,KNN,mean,0.8007619079487077,2.0
synth_local_dense,LODA,mean,0.6964311998180407,6.0
synth_local_dense,LOF,mean,0.8238801463716616,1.0
synth_local_dense,OCSVM,mean,0.7340810726950491,4.0
synth_local_dense,PCA,mean,0.6682963838515206,8.0
synth_ring,CBLOF,mean,0.9934193713263482,7.0
synth_ring,COPOD,mean,0.9817659085100946,8.0
synth_ring,ECOD,mean,0.9952679103841895,6.0
synth_ring,HBOS,mean,0.9978554391345089,4.0
synth_ring,IForest,mean,0.9966053326518443,5.0
synth_ring,KNN,mean,0.998479427549195,1.0
synth_ring,LODA,mean,0.9766632592213987,9.0
synth_ring,LOF,mean,0.9981514609421587,2.0
synth_ring,OCSVM,mean,0.43821875798619986,10.0
synth_ring,PCA,mean,0.9980322003577817,3.0
synth_two_moons,CBLOF,mean,0.9990133897110641,4.0
synth_two_moons,COPOD,mean,0.9980026175375013,9.0
synth_two_moons,ECOD,mean,0.9986751233262862,7.0
synth_two_moons,HBOS,mean,0.9990737944226317,3.0
synth_two_moons,IForest,mean,0.9981516158260344,8.0
synth_two_moons,KNN,mean,0.9988845263263868,6.0
synth_two_moons,LODA,mean,0.9755119299305346,10.0
synth_two_moons,LOF,mean,0.9989892278264371,5.0
synth_two_moons,OCSVM,mean,0.9993597100573844,1.0
synth_two_moons,PCA,mean,0.9991784959226819,2.0
synth_blobs,CBLOF,borda,-2.0,1.0
synth_blobs,COPOD,borda,-6.266666666666667,6.0
synth_blobs,ECOD,borda,-8.466666666666667,8.0
synth_blobs,HBOS,borda,-9.066666666666666,10.0
synth_blobs,IForest,borda,-4.733333333333333,5.0
synth_blobs,KNN,borda,-3.8333333333333335,4.0
synth_blobs,LODA,borda,-8.733333333333333,9.0
synth_blobs,LOF,borda,-2.4,3.0
synth_blobs,OCSVM,borda,-2.3,2.0
synth_blobs,PCA,borda,-6.666666666666667,7.0
synth_high_dim_var,CBLOF,borda,-5.428571428571429,5.0
synth_high_dim_var,COPOD,borda,-8.266666666666667,9.0
synth_high_dim_var,ECOD,borda,-5.933333333333334,6.0
synth_high_dim_var,HBOS,borda,-6.066666666666666,7.0
synth_high_dim_var,IForest,borda,-7.333333333333333,8.0
synth_high_dim_var,KNN,borda,-3.8666666666666667,4.0
synth_high_dim_var,LODA,borda,-8.533333333333333,10.0
synth_high_dim_var,LOF,borda,-2.3333333333333335,2.0
synth_high_dim_var,OCSVM,borda,-1.6,1.0
synth_high_dim_var,PCA,borda,-3.2,3.0
synth_local_dense,CBLOF,borda,-3.8,3.0
synth_local_dense,COPOD,borda,-8.866666666666667,10.0
synth_local_dense,ECOD,borda,-8.266666666666667,9.0
synth_local_dense,HBOS,borda,-7.2,7.0
synth_local_dense,IForest,borda,-5.4,5.0
synth_local_dense,KNN,borda,-2.066666666666667,2.0
synth_local_dense,LODA,borda,-6.6,6.0
synth_local_dense,LOF,borda,-1.0,1.0
synth_local_dense,OCSVM,borda,-4.4,4.0
synth_local_dense,PCA,borda,-7.4,8.0
synth_ring,CBLOF,borda,-2.0,2.0
synth_ring,COPOD,borda,-7.533333333333333,8.5
synth_ring,ECOD,borda,-6.0,7.0
synth_ring,HBOS,borda,-3.3,5.0
synth_ring,IForest,borda,-4.933333333333334,6.0
synth_ring,KNN,borda,-1.7,1.0
synth_ring,LODA,borda,-7.533333333333333,8.5
synth_ring,LOF,borda,-2.7666666666666666,4.0
synth_ring,OCSVM,borda,-9.066666666666666,10.0
synth_ring,PCA,borda,-2.7,3.0
synth_two_moons,CBLOF,borda,-4.958333333333333,7.0
synth_two_moons,COPOD,borda,-8.1,9.0
synth_two_moons,ECOD,borda,-4.7,5.0
synth_two_moons,HBOS,borda,-4.233333333333333,4.0
synth_two_moons,IForest,borda,-5.8,8.0
synth_two_moons,KNN,borda,-4.8,6.0
synth_two_moons,LODA,borda,-9.8,10.0
synth_two_moons,LOF,borda,-4.0,2.0
synth_two_moons,OCSVM,borda,-3.466666666666667,1.0
synth_two_moons,PCA,borda,-4.133333333333334,3.0
synth_blobs,CBLOF,varweight,0.9947836352692708,1.0
synth_blobs,COPOD,varweight,0.9886988066064197,6.0
synth_blobs,ECOD,varweight,0.9830453485935182,8.0
synth_blobs,HBOS,varweight,0.9816688266924953,9.0
synth_blobs,IForest,varweight,0.991721680573445,5.0
synth_blobs,KNN,varweight,0.9933355071761084,4.0
synth_blobs,LODA,varweight,0.9767927053769376,10.0
synth_blobs,LOF,varweight,0.9941076383982743,3.0
synth_blobs,OCSVM,varweight,0.9942392784423152,2.0
synth_blobs,PCA,varweight,0.9884315562130829,7.0
synth_high_dim_var,CBLOF,varweight,0.8838280254430151,7.0
synth_high_dim_var,COPOD,varweight,0.8715772126581063,9.0
synth_high_dim_var,ECOD,varweight,0.8872646047816366,5.0
synth_high_dim_var,HBOS,varweight,0.8853574646584252,6.0
synth_high_dim_var,IForest,varweight,0.875252195921816,8.0
synth_high_dim_var,KNN,varweight,0.8943030939177022,4.0
synth_high_dim_var,LODA,varweight,0.8364044616203342,10.0
synth_high_dim_var,LOF,varweight,0.897009107970832,2.0
synth_high_dim_var,OCSVM,varweight,0.9002529244704566,1.0
synth_high_dim_var,PCA,varweight,0.8969574705468898,3.0
synth_local_dense,CBLOF,varweight,0.7510243202980165,3.0
synth_local_dense,COPOD,varweight,0.6335610687900284,10.0
synth_local_dense,ECOD,varweight,0.6514174712896008,9.0
synth_local_dense,HBOS,varweight,0.6825291342654788,7.0
synth_local_dense,IForest,varweight,0.7092873502628739,5.0
synth_local_dense,KNN,varweight,0.8009553711569664,2.0
synth_local_dense,LODA,varweight,0.697445592307252,6.0
synth_local_dense,LOF,varweight,0.8247980291348874,1.0
synth_local_dense,OCSVM,varweight,0.7340422550846762,4.0
synth_local_dense,PCA,varweight,0.6634709821116579,8.0
synth_ring,CBLOF,varweight,0.9934193713263483,7.0
synth_ring,COPOD,varweight,0.9820138212781522,8.0
synth_ring,ECOD,varweight,0.9956289051326008,6.0
synth_ring,HBOS,varweight,0.9980452684195251,4.0
synth_ring,IForest,varweight,0.9968913277309606,5.0
synth_ring,KNN,varweight,0.9986403290873855,1.0
synth_ring,LODA,varweight,0.9764533144309125,9.0
synth_ring,LOF,varweight,0.9983948341616523,2.0
synth_ring,OCSVM,varweight,0.43404649180405214,10.0
synth_ring,PCA,varweight,0.9983044744119857,3.0
synth_two_moons,CBLOF,varweight,0.9986166210713923,4.0
synth_two_moons,COPOD,varweight,0.9972261275981656,9.0
synth_two_moons,ECOD,varweight,0.9980215598652721,7.0
synth_two_moons,HBOS,varweight,0.9987568705614238,3.0
synth_two_moons,IForest,varweight,0.997352056912957,8.0
synth_two_moons,KNN,varweight,0.998386194321749,6.0
synth_two_moons,LODA,varweight,0.9651888602331267,10.0
synth_two_moons,LOF,varweight,0.998540582870723,5.0
synth_two_moons,OCSVM,varweight,0.9989478692825168,2.0
synth_two_moons,PCA,varweight,0.9991032625831945,1.0
