dataset,detector,subset,K,selection,n_train,n_anom,n_norm,pseudo_auc
synth_blobs,IForest,0,30,composite_top_quartile,1216,40,304,0.9890625
synth_blobs,IForest,1,30,composite_top_quartile,1216,40,304,0.9958059210526315
synth_blobs,IForest,2,30,composite_top_quartile,1216,40,304,0.9879111842105264
synth_blobs,IForest,3,30,composite_top_quartile,1216,40,304,0.9957236842105264
synth_blobs,IForest,4,30,composite_top_quartile,1216,40,304,0.9947368421052633
synth_blobs,IForest,5,30,composite_top_quartile,1216,40,304,0.9957236842105264
synth_blobs,IForest,6,30,composite_top_quartile,1216,40,304,0.9943256578947368
synth_blobs,IForest,7,30,composite_top_quartile,1216,40,304,0.9901315789473684
synth_blobs,IForest,8,30,composite_top_quartile,1216,40,304,0.9908717105263158
synth_blobs,IForest,9,30,composite_top_quartile,1216,40,304,0.9883223684210527
synth_blobs,IForest,10,30,composite_top_quartile,1216,40,304,0.9922697368421052
synth_blobs,IForest,11,30,composite_top_quartile,1216,40,304,0.9912006578947368
synth_blobs,IForest,12,30,composite_top_quartile,1216,40,304,0.9916940789473685
synth_blobs,IForest,13,30,composite_top_quartile,1216,40,304,0.9922697368421052
synth_blobs,IForest,14,30,composite_top_quartile,1216,40,304,0.9895559210526316
synth_blobs,LOF,0,30,composite_top_quartile,1216,40,304,0.9905427631578948
synth_blobs,LOF,1,30,composite_top_quartile,1216,40,304,0.9953947368421052
synth_blobs,LOF,2,30,composite_top_quartile,1216,40,304,0.9896381578947367
synth_blobs,LOF,3,30,composite_top_quartile,1216,40,304,0.9974506578947369
synth_blobs,LOF,4,30,composite_top_quartile,1216,40,304,0.9972039473684211
synth_blobs,LOF,5,30,composite_top_quartile,1216,40,304,0.9971217105263158
synth_blobs,LOF,6,30,composite_top_quartile,1216,40,304,0.9945723684210526
synth_blobs,LOF,7,30,composite_top_quartile,1216,40,304,0.9948190789473684
synth_blobs,LOF,8,30,composite_top_quartile,1216,40,304,0.995970394736842
synth_blobs,LOF,9,30,composite_top_quartile,1216,40,304,0.9942434210526316
synth_blobs,LOF,10,30,composite_top_quartile,1216,40,304,0.9937499999999999
synth_blobs,LOF,11,30,composite_top_quartile,1216,40,304,0.9938322368421053
synth_blobs,LOF,12,30,composite_top_quartile,1216,40,304,0.9906250000000001
synth_blobs,LOF,13,30,composite_top_quartile,1216,40,304,0.9931743421052632
synth_blobs,LOF,14,30,composite_top_quartile,1216,40,304,0.9939967105263159
synth_blobs,KNN,0,30,composite_top_quartile,1216,40,304,0.9905427631578947
synth_blobs,KNN,1,30,composite_top_quartile,1216,40,304,0.9957236842105263
synth_blobs,KNN,2,30,composite_top_quartile,1216,40,304,0.9885690789473685
synth_blobs,KNN,3,30,composite_top_quartile,1216,40,304,0.995641447368421
synth_blobs,KNN,4,30,composite_top_quartile,1216,40,304,0.996217105263158
synth_blobs,KNN,5,30,composite_top_quartile,1216,40,304,0.9958059210526317
synth_blobs,KNN,6,30,composite_top_quartile,1216,40,304,0.9947368421052633
synth_blobs,KNN,7,30,composite_top_quartile,1216,40,304,0.9925986842105263
synth_blobs,KNN,8,30,composite_top_quartile,1216,40,304,0.9947368421052631
synth_blobs,KNN,9,30,composite_top_quartile,1216,40,304,0.9933388157894737
synth_blobs,KNN,10,30,composite_top_quartile,1216,40,304,0.9935855263157896
synth_blobs,KNN,11,30,composite_top_quartile,1216,40,304,0.9926809210526316
synth_blobs,KNN,12,30,composite_top_quartile,1216,40,304,0.9898848684210526
synth_blobs,KNN,13,30,composite_top_quartile,1216,40,304,0.9931743421052632
synth_blobs,KNN,14,30,composite_top_quartile,1216,40,304,0.9930098684210527
synth_blobs,OCSVM,0,30,composite_top_quartile,1216,40,304,0.9913651315789473
synth_blobs,OCSVM,1,30,composite_top_quartile,1216,40,304,0.9967927631578948
synth_blobs,OCSVM,2,30,composite_top_quartile,1216,40,304,0.9888157894736842
synth_blobs,OCSVM,3,30,composite_top_quartile,1216,40,304,0.996875
synth_blobs,OCSVM,4,30,composite_top_quartile,1216,40,304,0.9970394736842105
synth_blobs,OCSVM,5,30,composite_top_quartile,1216,40,304,0.9965460526315789
synth_blobs,OCSVM,6,30,composite_top_quartile,1216,40,304,0.9951480263157895
synth_blobs,OCSVM,7,30,composite_top_quartile,1216,40,304,0.9939144736842106
synth_blobs,OCSVM,8,30,composite_top_quartile,1216,40,304,0.9953125
synth_blobs,OCSVM,9,30,composite_top_quartile,1216,40,304,0.9948190789473684
synth_blobs,OCSVM,10,30,composite_top_quartile,1216,40,304,0.9941611842105263
synth_blobs,OCSVM,11,30,composite_top_quartile,1216,40,304,0.9938322368421053
synth_blobs,OCSVM,12,30,composite_top_quartile,1216,40,304,0.9911184210526316
