dataset,detector,true_auc,true_ap
synth_blobs,IForest,1.0,1.0
synth_blobs,LOF,1.0,1.0
synth_blobs,KNN,1.0,1.0
synth_blobs,OCSVM,1.0,1.0
synth_blobs,ECOD,0.997,0.9889502978337448
synth_blobs,COPOD,0.9978333333333333,0.9892186074509575
synth_blobs,HBOS,0.9995555555555555,0.9978890147548107
synth_blobs,PCA,0.9999444444444445,0.9997267759562841
synth_blobs,CBLOF,1.0,1.0
synth_blobs,LODA,0.9867777777777778,0.9267865607704345
synth_two_moons,IForest,1.0,1.0
synth_two_moons,LOF,1.0,1.0
synth_two_moons,KNN,1.0,1.0
synth_two_moons,OCSVM,1.0,1.0
synth_two_moons,ECOD,1.0,1.0
synth_two_moons,COPOD,0.9999444444444445,0.9997267759562841
synth_two_moons,HBOS,1.0,0.9999999999999998
synth_two_moons,PCA,1.0,1.0
synth_two_moons,CBLOF,1.0,1.0
synth_two_moons,LODA,1.0,1.0
synth_ring,IForest,0.9995555555555555,0.9978300553959008
synth_ring,LOF,1.0,1.0
synth_ring,KNN,1.0,1.0
synth_ring,OCSVM,0.5315,0.4617815622965738
synth_ring,ECOD,0.9967777777777778,0.9873052197498133
synth_ring,COPOD,0.9831111111111112,0.9373731421007477
synth_ring,HBOS,0.9998333333333334,0.9992063492063492
synth_ring,PCA,1.0,1.0
synth_ring,CBLOF,,
synth_ring,LODA,1.0,1.0
synth_high_dim_var,IForest,1.0,1.0
synth_high_dim_var,LOF,1.0,1.0
synth_high_dim_var,KNN,1.0,1.0
synth_high_dim_var,OCSVM,1.0,1.0
synth_high_dim_var,ECOD,1.0,1.0
synth_high_dim_var,COPOD,1.0,1.0
synth_high_dim_var,HBOS,1.0,1.0
synth_high_dim_var,PCA,1.0,1.0
synth_high_dim_var,CBLOF,,
synth_high_dim_var,LODA,1.0,1.0
synth_local_dense,IForest,1.0,1.0
synth_local_dense,LOF,1.0,1.0
synth_local_dense,KNN,1.0,1.0
synth_local_dense,OCSVM,1.0,1.0
synth_local_dense,ECOD,1.0,1.0
synth_local_dense,COPOD,1.0,1.0
synth_local_dense,HBOS,1.0,1.0
synth_local_dense,PCA,1.0,1.0
synth_local_dense,CBLOF,,
synth_local_dense,LODA,1.0,1.0
