dataset,bench,cl,aug
14_glass,adb,0.0,0.0
18_Ionosphere,adb,0.0186948853615521,0.004467960023515645
19_landsat,adb,0.0012307190411706692,0.0012307190411706692
20_letter,adb,0.0,0.0
23_mammography,adb,0.05085137593146757,0.05085137593146757
25_musk,adb,0.0,0.0
26_optdigits,adb,0.0021772956388340647,0.0021772956388340647
27_PageBlocks,adb,0.00713869990165968,0.00713869990165968
28_pendigits,adb,0.006071367203161704,0.006071367203161704
29_Pima,adb,0.05608208955223889,0.05608208955223889
30_satellite,adb,0.03364440078585462,0.03364440078585462
31_satimage-2,adb,0.0039232781168265785,0.0039232781168265785
35_SpamBase,adb,0.03463716325279879,0.03463716325279879
37_Stamps,adb,0.02341311134235169,0.02341311134235169
38_thyroid,adb,0.014721637836995463,0.014721637836995463
39_vertebral,adb,0.09973544973544975,0.09973544973544975
40_vowels,adb,0.008959810874704432,0.008959810874704432
41_Waveform,adb,0.0007822620827105201,0.0007822620827105201
42_WBC,adb,0.0,0.0
43_WDBC,adb,0.03148148148148152,0.022222222222222254
44_Wilt,adb,0.0,0.0
47_yeast,adb,0.05088958660387233,0.05088958660387233
6_cardio,adb,0.02343106289480908,0.02343106289480908
Annthyroid,dami,0.09271579592984136,0.09271579592984136
Cardiotocography,dami,0.012262106038930076,0.012262106038930076
PageBlocks,dami,0.007708672005137696,0.007708672005137696
Pima,dami,0.06814676616915423,0.06814676616915423
Stamps,dami,0.0293097467915366,0.0293097467915366
WBC,dami,3.700743415417188e-17,3.700743415417188e-17
WDBC,dami,0.06388888888888888,0.06388888888888888
Waveform,dami,0.015605381165919252,0.015605381165919252
Wilt,dami,0.0,0.0
