aggregation,K,selection,seed,rho_mean,top1_hit
borda,30,composite_top_quartile,0,-0.136,0.038
borda,30,random,0,-0.016,0.038
borda,30,smallest,0,-0.046,0.192
borda,50,composite_top_quartile,0,0.009,0.077
borda,50,random,0,0.011,0.038
borda,50,smallest,0,0.006,0.077
mean,30,composite_top_quartile,0,-0.15,0.0
mean,30,random,0,-0.006,0.154
mean,30,smallest,0,-0.047,0.154
mean,50,composite_top_quartile,0,0.005,0.077
mean,50,random,0,0.081,0.115
mean,50,smallest,0,-0.027,0.115
varweight,30,composite_top_quartile,0,-0.181,0.0
varweight,30,random,0,0.001,0.192
varweight,30,smallest,0,-0.06,0.115
varweight,50,composite_top_quartile,0,-0.031,0.038
varweight,50,random,0,0.093,0.077
varweight,50,smallest,0,0.001,0.154
