dataset,aggregation,spearman_rho,kendall_tau,top1_hit,top3_hit_ratio,n_detectors
synth_blobs,borda,0.8339955571474543,0.6803360514166089,1,0.6666666666666666,10
synth_blobs,mean,0.8727860481775686,0.7307313144845059,1,0.6666666666666666,10
synth_blobs,varweight,0.8727860481775686,0.7307313144845059,1,0.6666666666666666,10
synth_high_dim_var,borda,,,0,0.0,9
synth_high_dim_var,mean,,,0,0.0,9
synth_high_dim_var,varweight,,,0,0.0,9
synth_local_dense,borda,,,0,0.0,9
synth_local_dense,mean,,,0,0.0,9
synth_local_dense,varweight,,,0,0.0,9
synth_ring,borda,0.7298214983159412,0.7097954098256228,0,0.6666666666666666,9
synth_ring,mean,0.6789028582272216,0.669438681395203,0,0.6666666666666666,9
synth_ring,varweight,0.6789028582272216,0.669438681395203,0,0.6666666666666666,9
synth_two_moons,borda,0.40618119722996154,0.3478327964999673,0,0.0,10
synth_two_moons,mean,0.40618119722996154,0.3478327964999673,0,0.3333333333333333,10
synth_two_moons,varweight,0.40618119722996154,0.3478327964999673,0,0.3333333333333333,10
