aggregation,K,selection,seed,n_datasets,n_valid,rho_mean,rho_median,tau_mean,top1_hit,top3_hit_ratio,subset
borda,30,smallest,0,26,26,0.494,0.632,0.4,0.385,0.538,all
mean,30,smallest,0,26,26,0.494,0.632,0.399,0.346,0.564,all
varweight,30,smallest,0,26,26,0.489,0.63,0.399,0.346,0.551,all
mean,30,random,0,26,26,0.476,0.516,0.358,0.154,0.551,all
borda,30,random,0,26,26,0.474,0.54,0.354,0.192,0.538,all
borda,50,random,0,26,26,0.472,0.492,0.359,0.269,0.487,all
mean,50,random,0,26,26,0.468,0.473,0.355,0.231,0.538,all
varweight,50,smallest,0,26,26,0.459,0.606,0.368,0.308,0.551,all
varweight,50,random,0,26,26,0.458,0.592,0.362,0.154,0.5,all
borda,50,smallest,0,26,26,0.456,0.558,0.355,0.269,0.526,all
mean,50,smallest,0,26,26,0.456,0.576,0.358,0.231,0.538,all
varweight,30,random,0,26,26,0.445,0.563,0.345,0.115,0.526,all
varweight,30,composite_top_quartile,0,26,26,0.421,0.612,0.352,0.269,0.538,all
mean,30,composite_top_quartile,0,26,26,0.412,0.583,0.344,0.346,0.526,all
varweight,50,composite_top_quartile,0,26,26,0.409,0.509,0.333,0.269,0.526,all
mean,50,composite_top_quartile,0,26,26,0.403,0.491,0.33,0.231,0.551,all
borda,30,composite_top_quartile,0,26,26,0.398,0.6,0.333,0.346,0.474,all
borda,50,composite_top_quartile,0,26,26,0.386,0.412,0.318,0.231,0.538,all
mean,30,smallest,0,17,17,0.599,0.733,0.47,0.353,0.647,spread>=0.10
varweight,30,smallest,0,17,17,0.597,0.709,0.479,0.412,0.647,spread>=0.10
borda,30,smallest,0,17,17,0.592,0.648,0.47,0.412,0.608,spread>=0.10
varweight,50,random,0,17,17,0.592,0.697,0.466,0.118,0.569,spread>=0.10
borda,50,random,0,17,17,0.584,0.697,0.454,0.294,0.549,spread>=0.10
mean,50,random,0,17,17,0.58,0.733,0.444,0.235,0.608,spread>=0.10
mean,30,random,0,17,17,0.579,0.673,0.433,0.118,0.627,spread>=0.10
borda,30,random,0,17,17,0.569,0.667,0.426,0.176,0.608,spread>=0.10
varweight,50,smallest,0,17,17,0.549,0.636,0.433,0.412,0.627,spread>=0.10
varweight,30,random,0,17,17,0.545,0.697,0.42,0.059,0.588,spread>=0.10
borda,50,smallest,0,17,17,0.535,0.533,0.419,0.353,0.569,spread>=0.10
mean,50,smallest,0,17,17,0.535,0.6,0.419,0.294,0.608,spread>=0.10
varweight,30,composite_top_quartile,0,17,17,0.491,0.624,0.417,0.294,0.608,spread>=0.10
mean,30,composite_top_quartile,0,17,17,0.473,0.6,0.396,0.353,0.569,spread>=0.10
borda,30,composite_top_quartile,0,17,17,0.464,0.6,0.384,0.353,0.51,spread>=0.10
mean,50,composite_top_quartile,0,17,17,0.458,0.515,0.369,0.235,0.608,spread>=0.10
varweight,50,composite_top_quartile,0,17,17,0.455,0.564,0.363,0.294,0.549,spread>=0.10
borda,50,composite_top_quartile,0,17,17,0.429,0.418,0.346,0.235,0.588,spread>=0.10
