dataset,config,regret,effK
WDBC,kmeans,0.06388888888888888,
WDBC,vade_protectclust,0.04351851851851851,8.666666666666666
Pima,vade_protectclust,0.05182835820895526,2.8333333333333335
Pima,kmeans,0.06814676616915423,
Cardiotocography,kmeans,0.02865132006762901,
Stamps,vade_protectclust,0.008844953173777315,2.0
Stamps,kmeans,0.02428026361429066,
Annthyroid,kmeans,0.0927129564163068,
WBC,kmeans,0.0007751937984496656,
Cardiotocography,vade_protectclust,0.02802921923093597,6.333333333333333
WBC,vade_protectclust,3.700743415417188e-17,3.6666666666666665
PageBlocks,kmeans,0.007708672005137696,
Waveform,kmeans,0.015605381165919252,
Wilt,kmeans,0.0,
PageBlocks,vade_protectclust,0.0,3.1666666666666665
Waveform,vade_protectclust,0.07475336322869963,2.8333333333333335
Wilt,vade_protectclust,0.19272988664953414,2.5
Annthyroid,vade_protectclust,0.0927129564163068,10.166666666666666
