dataset,config,seed,regret,effK
Wilt,alpha0.25_warmup,0,,1.0
Wilt,alpha0.25_warmup,1,,1.0
Wilt,alpha0.25_warmup,2,0.18899084132781563,4.0
Wilt,alpha0.25,0,0.19864814759568883,2.5
Wilt,alpha0.25,1,0.19055067102509793,2.0
Wilt,alpha0.25,2,0.18899084132781563,3.0
Wilt,alpha1.0,0,0.0,6.0
Wilt,alpha1.0,1,0.0,4.5
Wilt,alpha1.0,2,0.18899084132781563,4.5
Wilt,alpha0.5,0,0.19864814759568883,4.0
Wilt,alpha0.5,1,0.19055067102509793,3.5
Wilt,alpha0.5,2,0.18899084132781563,4.0
Waveform,alpha0.25,0,0.0879820627802691,3.0
Waveform,alpha0.25,1,0.04533632286995537,3.0
Waveform,alpha0.25,2,0.09094170403587443,2.5
Waveform,alpha0.5,0,0.0879820627802691,2.5
Waveform,alpha0.5,1,0.0,3.0
Waveform,alpha0.5,2,0.0,3.5
Waveform,alpha1.0,0,0.0,4.0
Waveform,alpha1.0,1,0.0,3.5
Waveform,alpha1.0,2,0.0,5.0
Waveform,alpha0.25_warmup,0,0.0879820627802691,2.0
Waveform,alpha0.25_warmup,1,0.0,3.0
Waveform,alpha0.25_warmup,2,0.09094170403587443,2.5
